index,entry_date,day_of_week,expiry_date,atm_strike,chosen_strike,strike_offset,qty,ce_entry_open,pe_entry_open,sl_pct,ce_exit_ts,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_exit_ts,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,net_pnl
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,30%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,40%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,50%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,60%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,70%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,80%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,90%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-06,Monday,2026-04-28,22650,22650,0,325,668.00,582.70,100%,2026-04-06T15:20:00+05:30,854.00,day_close,-187.00,-60775.00,2026-04-06T15:20:00+05:30,437.40,day_close,144.30,46897.50,-13877.50,-13977.50
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,20%,2026-04-07T13:42:00+05:30,789.54,sl,-132.59,-43091.75,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,1920.75,1820.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,30%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,40%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,50%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,60%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,70%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,80%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
NIFTY,2026-04-07,Tuesday,2026-04-28,22750,22750,0,325,657.95,546.70,90%,2026-04-07T15:20:00+05:30,818.00,day_close,-161.05,-52341.25,2026-04-07T15:20:00+05:30,407.20,day_close,138.50,45012.50,-7328.75,-7428.75
