offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2025-12-30,Tuesday,TRADED,,2025-12-30,25908.65,25900,25900,0,25900,25900,75,4,300,0.86,42.20,84.40,2025-12-30T10:24:00+05:30,84.40,sl,36.10,72.20,2025-12-30T15:20:00+05:30,0.10,day_close,1010100.00,-2460.00,100.00,-2560.00,
0,2026-01-06,Tuesday,TRADED,,2026-01-06,26194.95,26200,26200,0,26200,26200,65,5,325,0.85,47.45,94.90,2026-01-06T15:20:00+05:30,0.10,day_close,40.54,81.08,2026-01-06T15:20:00+05:30,23.15,day_close,1106950.00,20390.50,100.00,20290.50,
0,2026-01-13,Tuesday,TRADED,,2026-01-13,25845.75,25850,25850,0,25850,25850,65,5,325,0.74,51.60,103.20,2026-01-13T15:20:00+05:30,0.15,day_close,69.84,139.68,2026-01-13T09:33:00+05:30,139.68,sl,1092162.50,-6626.75,100.00,-6726.75,
0,2026-01-20,Tuesday,TRADED,,2026-01-20,25559.30,25550,25550,0,25550,25550,65,5,325,0.91,58.20,116.40,2026-01-20T15:20:00+05:30,0.20,day_close,53.05,106.10,2026-01-20T09:36:00+05:30,106.10,sl,1079487.50,958.75,100.00,858.75,
0,2026-01-27,Tuesday,TRADED,,2026-01-27,25007.50,25000,25050,1,25050,25050,65,5,325,0.82,92.50,185.00,2026-01-27T10:19:00+05:30,185.00,sl,113.35,226.70,2026-01-27T15:20:00+05:30,0.05,day_close,1058362.50,6110.00,100.00,6010.00,
0,2026-02-03,Tuesday,TRADED,,2026-02-03,25811.10,25800,25800,0,25800,25800,65,5,325,0.99,152.30,304.60,2026-02-03T15:20:00+05:30,0.15,day_close,153.70,307.40,2026-02-03T15:20:00+05:30,68.00,day_close,1090050.00,76651.25,100.00,76551.25,
0,2026-02-10,Tuesday,TRADED,,2026-02-10,25918.10,25900,25900,0,25900,25900,65,5,325,0.67,60.55,121.10,2026-02-10T15:20:00+05:30,33.30,day_close,40.50,81.00,2026-02-10T15:20:00+05:30,0.15,day_close,1094275.00,21320.00,100.00,21220.00,
0,2026-02-17,Tuesday,TRADED,,2026-02-17,25610.45,25600,25600,0,25600,25600,65,5,325,0.96,49.20,98.40,2026-02-17T09:58:00+05:30,98.40,sl,51.45,102.90,2026-02-17T15:20:00+05:30,0.10,day_close,1081600.00,48.75,100.00,-51.25,
0,2026-02-24,Tuesday,TRADED,,2026-02-24,25571.25,25550,25550,0,25550,25550,65,5,325,0.73,77.25,154.50,2026-02-24T15:20:00+05:30,0.15,day_close,56.30,112.60,2026-02-24T10:52:00+05:30,112.60,sl,1079487.50,6110.00,100.00,6010.00,
0,2026-03-02,Monday,TRADED,,2026-03-02,24893.10,24900,24900,0,24900,24900,65,5,325,0.93,105.45,210.90,2026-03-02T15:20:00+05:30,0.60,day_close,113.05,226.10,2026-03-02T12:38:00+05:30,226.10,sl,1052025.00,-3315.00,100.00,-3415.00,
0,2026-03-10,Tuesday,TRADED,,2026-03-10,24150.70,24150,24150,0,24150,24150,65,5,325,0.97,95.70,191.40,2026-03-10T15:20:00+05:30,111.05,day_close,92.75,185.50,2026-03-10T15:20:00+05:30,0.05,day_close,1020337.50,24488.75,100.00,24388.75,
