offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
200,2021-12-02,Thursday,TRADED,,2021-12-02,17226.30,17250,17150,-2,17350,16950,50,6,300,0.84,11.80,22.42,2021-12-02T11:19:00+05:30,22.42,sl,9.90,18.81,2021-12-02T15:20:00+05:30,0.15,day_close,673050.00,-861.00,100.00,-961.00,
200,2021-12-09,Thursday,SKIPPED,balance_filter,2021-12-09,17505.70,17500,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2021-12-16,Thursday,SKIPPED,balance_filter,2021-12-16,17344.00,17350,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2021-12-23,Thursday,TRADED,,2021-12-23,17036.90,17050,17000,-1,17200,16800,50,6,300,0.94,4.70,8.93,2021-12-23T15:20:00+05:30,0.05,day_close,5.00,9.50,2021-12-23T15:20:00+05:30,0.05,day_close,667200.00,2280.00,100.00,2180.00,
200,2021-12-30,Thursday,TRADED,,2021-12-30,17205.00,17200,17150,-1,17350,16950,50,6,300,0.95,3.05,5.79,2021-12-30T15:20:00+05:30,0.05,day_close,2.90,5.51,2021-12-30T15:20:00+05:30,0.05,day_close,673050.00,1155.00,100.00,1055.00,
200,2022-01-06,Thursday,TRADED,,2022-01-06,17747.00,17750,17700,-1,17900,17500,50,6,300,0.95,5.40,10.26,2022-01-06T15:20:00+05:30,0.05,day_close,5.70,10.83,2022-01-06T15:20:00+05:30,0.05,day_close,694500.00,2700.00,100.00,2600.00,
200,2022-01-13,Thursday,SKIPPED,balance_filter,2022-01-13,18238.80,18250,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-01-20,Thursday,TRADED,,2022-01-20,17913.10,17900,17900,0,18100,17700,50,6,300,0.86,3.15,5.98,2022-01-20T15:20:00+05:30,0.10,day_close,2.70,5.13,2022-01-20T11:09:00+05:30,5.13,sl,702300.00,-414.00,100.00,-514.00,
200,2022-01-27,Thursday,SKIPPED,balance_filter,2022-01-27,16985.30,17000,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-02-03,Thursday,SKIPPED,balance_filter,2022-02-03,17750.70,17750,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-02-10,Thursday,SKIPPED,balance_filter,2022-02-10,17501.20,17500,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-02-17,Thursday,SKIPPED,balance_filter,2022-02-17,17422.10,17400,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-02-24,Thursday,SKIPPED,balance_filter,2022-02-24,16674.00,16650,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-03-03,Thursday,SKIPPED,balance_filter,2022-03-03,16723.30,16700,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-03-10,Thursday,SKIPPED,balance_filter,2022-03-10,16679.10,16700,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-03-17,Thursday,SKIPPED,balance_filter,2022-03-17,17219.10,17200,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-03-24,Thursday,SKIPPED,balance_filter,2022-03-24,17156.90,17150,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-03-31,Thursday,SKIPPED,balance_filter,2022-03-31,17533.80,17550,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-04-07,Thursday,SKIPPED,balance_filter,2022-04-07,17736.40,17750,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-04-13,Wednesday,SKIPPED,balance_filter,2022-04-13,17622.90,17600,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-04-21,Thursday,SKIPPED,balance_filter,2022-04-21,17245.90,17250,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-04-28,Thursday,SKIPPED,balance_filter,2022-04-28,17121.30,17100,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-05-05,Thursday,SKIPPED,balance_filter,2022-05-05,16824.10,16800,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-05-12,Thursday,TRADED,,2022-05-12,15961.30,15950,15950,0,16150,15750,50,6,300,0.88,12.15,23.09,2022-05-12T15:20:00+05:30,0.05,day_close,10.65,20.23,2022-05-12T09:30:00+05:30,20.23,sl,626250.00,154.50,100.00,54.50,
200,2022-05-19,Thursday,SKIPPED,balance_filter,2022-05-19,15925.00,15900,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-05-26,Thursday,SKIPPED,balance_filter,2022-05-26,16087.10,16100,,,,,50,6,300,,,,,,,,,,,,,,,,
200,2022-06-02,Thursday,SKIPPED,balance_filter,2022-06-02,16460.80,16450,,,,,50,6,300,,,,,,,,,,,,,,,,
