entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,sl_capped,remarks
2022-08-05,SKIPPED,random_skip,2022-08-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-08,TRADED,,2022-08-11,2,1,1,2,0,0,4,-9135.00,100.00,-9235.00,2,True,
2022-08-10,SKIPPED,random_skip,2022-08-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-11,TRADED,,2022-08-11,2,0,2,2,0,0,4,-3585.00,100.00,-3685.00,2,True,
2022-08-12,SKIPPED,random_skip,2022-08-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-16,SKIPPED,random_skip,2022-08-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-17,TRADED,,2022-08-18,1,0,1,0,1,0,2,10095.00,50.00,10045.00,0,False,
2022-08-18,SKIPPED,random_skip,2022-08-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-19,SKIPPED,random_skip,2022-08-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-22,TRADED,,2022-08-25,1,1,0,0,1,0,2,23040.00,50.00,22990.00,0,False,
2022-08-23,TRADED,,2022-08-25,2,1,1,2,0,0,4,-41775.00,100.00,-41875.00,2,True,
2022-08-24,SKIPPED,random_skip,2022-08-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-25,TRADED,,2022-08-25,2,1,1,1,1,0,4,17550.00,100.00,17450.00,1,False,
2022-08-26,TRADED,,2022-09-01,2,2,0,2,0,0,4,-5550.00,100.00,-5650.00,2,True,
2022-08-29,SKIPPED,random_skip,2022-09-01,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-30,TRADED,,2022-09-01,1,0,1,0,1,0,2,22545.00,50.00,22495.00,0,False,
2022-09-01,TRADED,,2022-09-01,2,0,2,2,0,0,4,-795.00,100.00,-895.00,2,True,
2022-09-02,TRADED,,2022-09-08,2,1,1,2,0,0,4,6360.00,100.00,6260.00,2,True,
2022-09-05,TRADED,,2022-09-08,2,1,1,1,1,0,4,1830.00,100.00,1730.00,1,False,
2022-09-06,TRADED,,2022-09-08,2,1,1,2,0,0,4,-24105.00,100.00,-24205.00,2,True,
2022-09-07,TRADED,,2022-09-08,2,2,0,2,0,0,4,-12315.00,100.00,-12415.00,2,True,
2022-09-08,TRADED,,2022-09-08,2,0,2,1,1,0,4,7410.00,100.00,7310.00,1,False,
2022-09-09,TRADED,,2022-09-15,2,0,2,2,0,0,4,-16800.00,100.00,-16900.00,2,True,
2022-09-12,TRADED,,2022-09-15,2,1,1,2,0,0,4,3450.00,100.00,3350.00,2,True,
2022-09-13,TRADED,,2022-09-15,2,1,1,1,1,0,4,-1095.00,100.00,-1195.00,1,False,
2022-09-14,SKIPPED,random_skip,2022-09-15,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-09-15,TRADED,,2022-09-15,2,1,1,2,0,0,4,-11655.00,100.00,-11755.00,2,True,
2022-09-16,SKIPPED,random_skip,2022-09-22,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-09-19,SKIPPED,random_skip,2022-09-22,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-09-20,TRADED,,2022-09-22,2,0,2,2,0,0,4,1875.00,100.00,1775.00,2,True,
2022-09-21,TRADED,,2022-09-22,2,1,1,2,0,0,4,-2820.00,100.00,-2920.00,2,True,
2022-09-22,SKIPPED,random_skip,2022-09-22,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-09-23,SKIPPED,random_skip,2022-09-29,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-09-26,TRADED,,2022-09-29,2,1,1,2,0,0,4,-4950.00,100.00,-5050.00,2,True,
2022-09-27,TRADED,,2022-09-29,2,1,1,2,0,0,4,-12945.00,100.00,-13045.00,2,True,
2022-09-28,SKIPPED,random_skip,2022-09-29,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-09-29,TRADED,,2022-09-29,2,1,1,2,0,0,4,-8235.00,100.00,-8335.00,2,True,
2022-09-30,TRADED,,2022-10-06,2,1,1,1,1,0,4,9750.00,100.00,9650.00,1,False,
2022-10-03,SKIPPED,random_skip,2022-10-06,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-04,TRADED,,2022-10-06,2,1,1,1,1,0,4,-2040.00,100.00,-2140.00,1,False,
2022-10-06,SKIPPED,random_skip,2022-10-06,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-07,SKIPPED,random_skip,2022-10-13,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-10,SKIPPED,random_skip,2022-10-13,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-11,TRADED,,2022-10-13,2,0,2,2,0,0,4,-6840.00,100.00,-6940.00,2,True,
2022-10-12,SKIPPED,random_skip,2022-10-13,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-13,TRADED,,2022-10-13,2,1,1,2,0,0,4,1770.00,100.00,1670.00,2,True,
2022-10-14,TRADED,,2022-10-20,2,1,1,2,0,0,4,-5745.00,100.00,-5845.00,2,True,
2022-10-17,TRADED,,2022-10-20,2,1,1,2,0,0,4,-27840.00,100.00,-27940.00,2,True,
2022-10-18,SKIPPED,random_skip,2022-10-20,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-19,TRADED,,2022-10-20,2,0,2,2,0,0,4,-3240.00,100.00,-3340.00,2,True,
2022-10-20,SKIPPED,random_skip,2022-10-20,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-21,SKIPPED,random_skip,2022-10-27,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-10-24,SKIPPED,missing_spot_5m_timestamp,2022-10-27,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,"Missing 5-minute NIFTY monitoring timestamps: 71 missing from 2022-10-24T09:25:00+05:30 through 2022-10-24T15:15:00+05:30; first 5: 2022-10-24T09:25:00+05:30, 2022-10-24T09:30:00+05:30, 2022-10-24T09:35:00+05:30, 2022-10-24T09:40:00+05:30, 2022-10-24T09:45:00+05:30; last 5: 2022-10-24T14:55:00+05:30, 2022-10-24T15:00:00+05:30, 2022-10-24T15:05:00+05:30, 2022-10-24T15:10:00+05:30, 2022-10-24T15:15:00+05:30"
