entry_date,status,skip_reason,expiry_date,lot_size,lots,qty,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,atm_strike,sold_side,contract_name,option_entry_open,exit_timestamp,option_exit_open,exit_reason,exit_spot_ma,gross_pnl,brokerage,net_pnl,remarks
2024-05-10,TRADED,,2024-05-16,25,12,300,2024-05-10T14:00:00+05:30,22027.05,22035.23,BELOW_SMA,2024-05-10T14:15:00+05:30,22050,CE,NIFTY_22050_CE_16_MAY_24.csv,146.2,2024-05-10T14:30:00+05:30,137.95,stop_loss_ma_touch,22034.25,1875.00,50.00,1825.00,
2024-05-10,TRADED,,2024-05-16,25,12,300,2024-05-10T14:30:00+05:30,22030.65,22036.58,BELOW_SMA,2024-05-10T14:45:00+05:30,22050,CE,NIFTY_22050_CE_16_MAY_24.csv,147.3,2024-05-10T14:50:00+05:30,145.85,stop_loss_ma_touch,22036.58,-165.00,50.00,-215.00,
2024-05-10,TRADED,,2024-05-16,25,12,300,2024-05-10T14:45:00+05:30,22037.3,22038.40,BELOW_SMA,2024-05-10T15:00:00+05:30,22050,CE,NIFTY_22050_CE_16_MAY_24.csv,151.5,2024-05-10T15:05:00+05:30,164.6,stop_loss_ma_touch,22038.40,-4530.00,50.00,-4580.00,
2024-05-13,TRADED,,2024-05-16,25,12,300,2024-05-13T12:45:00+05:30,22019.7,21971.77,ABOVE_SMA,2024-05-13T13:00:00+05:30,22000,PE,NIFTY_22000_PE_16_MAY_24.csv,112.05,2024-05-13T13:20:00+05:30,118.35,stop_loss_ma_touch,21973.24,-2490.00,50.00,-2540.00,
2024-05-13,TRADED,,2024-05-16,25,12,300,2024-05-13T13:15:00+05:30,21973.6,21971.52,ABOVE_SMA,2024-05-13T13:30:00+05:30,21950,PE,NIFTY_21950_PE_16_MAY_24.csv,117.0,2024-05-13T13:35:00+05:30,131.75,stop_loss_ma_touch,21971.52,-5025.00,50.00,-5075.00,
2024-05-13,TRADED,,2024-05-16,25,12,300,2024-05-13T13:30:00+05:30,21978.45,21969.26,ABOVE_SMA,2024-05-13T13:45:00+05:30,22000,PE,NIFTY_22000_PE_16_MAY_24.csv,136.35,2024-05-13T15:15:00+05:30,74.75,day_close,21985.93,17880.00,50.00,17830.00,
2024-05-14,SKIPPED,random_skip,2024-05-16,0,0,0,,,,,2024-05-14T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2024-05-15,TRADED,,2024-05-16,25,12,300,2024-05-15T13:45:00+05:30,22188.75,22213.44,BELOW_SMA,2024-05-15T14:00:00+05:30,22200,CE,NIFTY_22200_CE_16_MAY_24.csv,64.15,2024-05-15T14:10:00+05:30,68.35,stop_loss_ma_touch,22213.44,-1860.00,50.00,-1910.00,
2024-05-15,TRADED,,2024-05-16,25,12,300,2024-05-15T14:00:00+05:30,22211.45,22211.87,BELOW_SMA,2024-05-15T14:15:00+05:30,22200,CE,NIFTY_22200_CE_16_MAY_24.csv,77.4,2024-05-15T14:35:00+05:30,70.8,stop_loss_ma_touch,22209.23,1380.00,50.00,1330.00,
2024-05-15,TRADED,,2024-05-16,25,12,300,2024-05-15T14:30:00+05:30,22202.45,22207.85,BELOW_SMA,2024-05-15T14:45:00+05:30,22200,CE,NIFTY_22200_CE_16_MAY_24.csv,71.2,2024-05-15T14:50:00+05:30,82.8,stop_loss_ma_touch,22207.85,-4080.00,50.00,-4130.00,
2024-05-15,TRADED,,2024-05-16,25,12,300,2024-05-15T14:45:00+05:30,22224.35,22207.35,ABOVE_SMA,2024-05-15T15:00:00+05:30,22200,PE,NIFTY_22200_PE_16_MAY_24.csv,58.7,2024-05-15T15:05:00+05:30,71.7,stop_loss_ma_touch,22207.35,-4500.00,50.00,-4550.00,
2024-05-16,SKIPPED,random_skip,2024-05-16,0,0,0,,,,,2024-05-16T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2024-05-17,TRADED,,2024-05-23,25,12,300,2024-05-17T11:30:00+05:30,22483.5,22288.86,ABOVE_SMA,2024-05-17T11:45:00+05:30,22500,PE,NIFTY_22500_PE_23_MAY_24.csv,156.7,2024-05-17T15:00:00+05:30,156.45,stop_loss_ma_touch,22449.70,-525.00,50.00,-575.00,
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T09:15:00+05:30,22470.05,22480.52,BELOW_SMA,2024-05-21T09:30:00+05:30,22450,CE,NIFTY_22450_CE_23_MAY_24.csv,138.75,2024-05-21T09:40:00+05:30,142.45,stop_loss_ma_touch,22480.52,-1710.00,50.00,-1760.00,
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T09:30:00+05:30,22473.5,22481.10,BELOW_SMA,2024-05-21T09:45:00+05:30,22450,CE,NIFTY_22450_CE_23_MAY_24.csv,138.35,2024-05-21T10:05:00+05:30,130.85,stop_loss_ma_touch,22480.22,1650.00,50.00,1600.00,
2024-05-21,TRADED,,2024-05-23,25,12,300,2024-05-21T10:00:00+05:30,22465.7,22479.61,BELOW_SMA,2024-05-21T10:15:00+05:30,22450,CE,NIFTY_22450_CE_23_MAY_24.csv,124.8,2024-05-21T10:20:00+05:30,122.05,stop_loss_ma_touch,22479.61,225.00,50.00,175.00,
