entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,sold_side,sold_contract_name,sold_option_entry_timestamp,sold_option_entry_open,sold_option_exit_timestamp,sold_option_exit_open,hedge_strike,hedge_contract_name,hedge_option_entry_timestamp,hedge_option_entry_open,hedge_option_exit_timestamp,hedge_option_exit_open,gross_pnl,brokerage,net_pnl,remarks
2025-01-27,TRADED,,2025-01-30,2025-01-28,2025-01-27T15:15:00+05:30,22816.85,22877.90,BELOW_SMA,22800,CE,NIFTY_22800_CE_30_JAN_25.csv,2025-01-27T15:29:00+05:30,174.45,2025-01-28T09:16:00+05:30,228.05,23000,NIFTY_23000_CE_30_JAN_25.csv,2025-01-27T15:29:00+05:30,86.9,2025-01-28T09:16:00+05:30,114.55,-19467.50,100.00,-19567.50,
2025-01-28,TRADED,,2025-01-30,2025-01-29,2025-01-28T15:15:00+05:30,22976.3,22987.69,BELOW_SMA,23000,CE,NIFTY_23000_CE_30_JAN_25.csv,2025-01-28T15:29:00+05:30,128.75,2025-01-29T09:16:00+05:30,145.1,23200,NIFTY_23200_CE_30_JAN_25.csv,2025-01-28T15:29:00+05:30,51.95,2025-01-29T09:16:00+05:30,59.0,-8645.00,100.00,-8745.00,
2025-01-29,TRADED,,2025-01-30,2025-01-30,2025-01-29T15:15:00+05:30,23176.2,23113.26,ABOVE_SMA,23200,PE,NIFTY_23200_PE_30_JAN_25.csv,2025-01-29T15:29:00+05:30,167.55,2025-01-30T09:16:00+05:30,177.15,23000,NIFTY_23000_PE_30_JAN_25.csv,2025-01-29T15:29:00+05:30,88.85,2025-01-30T09:16:00+05:30,90.0,-8092.50,100.00,-8192.50,
2025-01-30,TRADED,,2025-02-06,2025-01-31,2025-01-30T15:15:00+05:30,23297.95,23239.75,ABOVE_SMA,23300,PE,NIFTY_23300_PE_06_FEB_25.csv,2025-01-30T15:29:00+05:30,273.0,2025-01-31T09:16:00+05:30,293.14,23100,NIFTY_23100_PE_06_FEB_25.csv,2025-01-30T15:29:00+05:30,197.0,2025-01-31T09:16:00+05:30,213.4,-5031.00,100.00,-5131.00,
2025-01-31,TRADED,,2025-02-06,2025-02-01,2025-01-31T15:15:00+05:30,23533.85,23442.03,ABOVE_SMA,23550,PE,NIFTY_23550_PE_06_FEB_25.csv,2025-01-31T15:29:00+05:30,222.7,2025-02-01T09:16:00+05:30,231.65,23350,NIFTY_23350_PE_06_FEB_25.csv,2025-01-31T15:29:00+05:30,150.0,2025-02-01T09:16:00+05:30,156.0,-4517.50,100.00,-4617.50,
2025-02-01,TRADED,,2025-02-06,2025-02-03,2025-02-01T15:15:00+05:30,23495.3,23508.35,BELOW_SMA,23500,CE,NIFTY_23500_CE_06_FEB_25.csv,2025-02-01T15:29:00+05:30,143.94,2025-02-03T09:16:00+05:30,68.45,23700,NIFTY_23700_CE_06_FEB_25.csv,2025-02-01T15:29:00+05:30,65.25,2025-02-03T09:16:00+05:30,26.75,21443.50,100.00,21343.50,
2025-02-03,TRADED,,2025-02-06,2025-02-04,2025-02-03T15:15:00+05:30,23359.7,23313.21,ABOVE_SMA,23350,PE,NIFTY_23350_PE_06_FEB_25.csv,2025-02-03T15:29:00+05:30,96.95,2025-02-04T09:16:00+05:30,48.4,23150,NIFTY_23150_PE_06_FEB_25.csv,2025-02-03T15:29:00+05:30,45.0,2025-02-04T09:16:00+05:30,20.1,12772.50,100.00,12672.50,
2025-02-04,TRADED,,2025-02-06,2025-02-05,2025-02-04T15:15:00+05:30,23707.7,23595.98,ABOVE_SMA,23700,PE,NIFTY_23700_PE_06_FEB_25.csv,2025-02-04T15:29:00+05:30,89.0,2025-02-05T09:16:00+05:30,71.75,23500,NIFTY_23500_PE_06_FEB_25.csv,2025-02-04T15:29:00+05:30,28.45,2025-02-05T09:16:00+05:30,22.5,4745.00,100.00,4645.00,
2025-02-05,TRADED,,2025-02-06,2025-02-06,2025-02-05T15:15:00+05:30,23686.75,23743.89,BELOW_SMA,23700,CE,NIFTY_23700_CE_06_FEB_25.csv,2025-02-05T15:29:00+05:30,55.0,2025-02-06T09:16:00+05:30,63.2,23900,NIFTY_23900_CE_06_FEB_25.csv,2025-02-05T15:29:00+05:30,18.05,2025-02-06T09:16:00+05:30,17.7,-8157.50,100.00,-8257.50,
2025-02-06,TRADED,,2025-02-13,2025-02-07,2025-02-06T15:15:00+05:30,23628.05,23611.54,ABOVE_SMA,23650,PE,NIFTY_23650_PE_13_FEB_25.csv,2025-02-06T15:29:00+05:30,183.5,2025-02-07T09:16:00+05:30,188.3,23450,NIFTY_23450_PE_13_FEB_25.csv,2025-02-06T15:29:00+05:30,104.45,2025-02-07T09:16:00+05:30,110.55,-1755.00,100.00,-1855.00,
2025-02-07,TRADED,,2025-02-13,2025-02-10,2025-02-07T15:15:00+05:30,23563.15,23571.58,BELOW_SMA,23550,CE,NIFTY_23550_CE_13_FEB_25.csv,2025-02-07T15:29:00+05:30,165.0,2025-02-10T09:16:00+05:30,136.35,23750,NIFTY_23750_CE_13_FEB_25.csv,2025-02-07T15:29:00+05:30,80.05,2025-02-10T09:16:00+05:30,63.0,4940.00,100.00,4840.00,
2025-02-10,TRADED,,2025-02-13,2025-02-11,2025-02-10T15:15:00+05:30,23376.05,23378.53,BELOW_SMA,23400,CE,NIFTY_23400_CE_13_FEB_25.csv,2025-02-10T15:29:00+05:30,147.25,2025-02-11T09:16:00+05:30,127.0,23600,NIFTY_23600_CE_13_FEB_25.csv,2025-02-10T15:29:00+05:30,67.0,2025-02-11T09:16:00+05:30,55.65,3185.00,100.00,3085.00,
2025-02-11,TRADED,,2025-02-13,2025-02-12,2025-02-11T15:15:00+05:30,23070.5,23180.78,BELOW_SMA,23050,CE,NIFTY_23050_CE_13_FEB_25.csv,2025-02-11T15:29:00+05:30,133.69,2025-02-12T09:16:00+05:30,125.6,23250,NIFTY_23250_CE_13_FEB_25.csv,2025-02-11T15:29:00+05:30,53.95,2025-02-12T09:16:00+05:30,47.2,-1729.00,100.00,-1829.00,
2025-02-12,TRADED,,2025-02-13,2025-02-13,2025-02-12T15:15:00+05:30,23057.8,22988.75,ABOVE_SMA,23050,PE,NIFTY_23050_PE_13_FEB_25.csv,2025-02-12T15:29:00+05:30,81.59,2025-02-13T09:16:00+05:30,55.9,22850,NIFTY_22850_PE_13_FEB_25.csv,2025-02-12T15:29:00+05:30,23.95,2025-02-13T09:16:00+05:30,15.85,8833.50,100.00,8733.50,
2025-02-13,TRADED,,2025-02-20,2025-02-14,2025-02-13T15:15:00+05:30,23019.4,23132.52,BELOW_SMA,23000,CE,NIFTY_23000_CE_20_FEB_25.csv,2025-02-13T15:29:00+05:30,211.15,2025-02-14T09:16:00+05:30,263.45,23200,NIFTY_23200_CE_20_FEB_25.csv,2025-02-13T15:29:00+05:30,115.45,2025-02-14T09:16:00+05:30,147.9,-15502.50,100.00,-15602.50,
2025-02-14,TRADED,,2025-02-20,2025-02-17,2025-02-14T15:15:00+05:30,22897.25,22902.97,BELOW_SMA,22900,CE,NIFTY_22900_CE_20_FEB_25.csv,2025-02-14T15:29:00+05:30,185.6,2025-02-17T09:16:00+05:30,127.4,23100,NIFTY_23100_CE_20_FEB_25.csv,2025-02-14T15:29:00+05:30,94.8,2025-02-17T09:16:00+05:30,61.2,13390.00,100.00,13290.00,
2025-02-17,TRADED,,2025-02-20,2025-02-18,2025-02-17T15:15:00+05:30,22963.5,22864.70,ABOVE_SMA,22950,PE,NIFTY_22950_PE_20_FEB_25.csv,2025-02-17T15:29:00+05:30,127.85,2025-02-18T09:16:00+05:30,140.0,22750,NIFTY_22750_PE_20_FEB_25.csv,2025-02-17T15:29:00+05:30,63.95,2025-02-18T09:16:00+05:30,69.15,-7117.50,100.00,-7217.50,
2025-02-18,TRADED,,2025-02-20,2025-02-19,2025-02-18T15:15:00+05:30,22923.15,22889.31,ABOVE_SMA,22900,PE,NIFTY_22900_PE_20_FEB_25.csv,2025-02-18T15:29:00+05:30,105.8,2025-02-19T09:16:00+05:30,137.15,22700,NIFTY_22700_PE_20_FEB_25.csv,2025-02-18T15:29:00+05:30,40.2,2025-02-19T09:16:00+05:30,56.0,-12707.50,100.00,-12807.50,
2025-02-19,TRADED,,2025-02-20,2025-02-20,2025-02-19T15:15:00+05:30,22914.4,22947.21,BELOW_SMA,22900,CE,NIFTY_22900_CE_20_FEB_25.csv,2025-02-19T15:29:00+05:30,95.75,2025-02-20T09:16:00+05:30,64.45,23100,NIFTY_23100_CE_20_FEB_25.csv,2025-02-19T15:29:00+05:30,24.65,2025-02-20T09:16:00+05:30,14.7,11277.50,100.00,11177.50,
2025-02-20,TRADED,,2025-02-27,2025-02-21,2025-02-20T15:15:00+05:30,22906.25,22894.60,ABOVE_SMA,22900,PE,NIFTY_22900_PE_27_FEB_25.csv,2025-02-20T15:29:00+05:30,146.05,2025-02-21T09:16:00+05:30,154.85,22700,NIFTY_22700_PE_27_FEB_25.csv,2025-02-20T15:29:00+05:30,76.09,2025-02-21T09:16:00+05:30,80.05,-5746.00,100.00,-5846.00,
2025-02-21,TRADED,,2025-02-27,2025-02-24,2025-02-21T15:15:00+05:30,22764.35,22786.86,BELOW_SMA,22750,CE,NIFTY_22750_CE_27_FEB_25.csv,2025-02-21T15:29:00+05:30,173.75,2025-02-24T09:16:00+05:30,114.2,22950,NIFTY_22950_CE_27_FEB_25.csv,2025-02-21T15:29:00+05:30,79.34,2025-02-24T09:16:00+05:30,47.0,15086.50,100.00,14986.50,
2025-02-24,TRADED,,2025-02-27,2025-02-25,2025-02-24T15:15:00+05:30,22548.85,22567.00,BELOW_SMA,22550,CE,NIFTY_22550_CE_27_FEB_25.csv,2025-02-24T15:29:00+05:30,134.5,2025-02-25T09:16:00+05:30,122.1,22750,NIFTY_22750_CE_27_FEB_25.csv,2025-02-24T15:29:00+05:30,42.3,2025-02-25T09:16:00+05:30,34.54,416.00,100.00,316.00,
2025-02-25,TRADED,,2025-02-27,2025-02-27,2025-02-25T15:15:00+05:30,22526.3,22574.33,BELOW_SMA,22550,CE,NIFTY_22550_CE_27_FEB_25.csv,2025-02-25T15:29:00+05:30,67.2,2025-02-27T09:16:00+05:30,60.8,22750,NIFTY_22750_CE_27_FEB_25.csv,2025-02-25T15:29:00+05:30,7.55,2025-02-27T09:16:00+05:30,4.0,-747.50,100.00,-847.50,
2025-02-27,TRADED,,2025-03-06,2025-02-28,2025-02-27T15:15:00+05:30,22510.85,22539.35,BELOW_SMA,22500,CE,NIFTY_22500_CE_06_MAR_25.csv,2025-02-27T15:29:00+05:30,194.0,2025-02-28T09:16:00+05:30,110.0,22700,NIFTY_22700_CE_06_MAR_25.csv,2025-02-27T15:29:00+05:30,90.0,2025-02-28T09:16:00+05:30,43.65,21872.50,100.00,21772.50,
2025-02-28,TRADED,,2025-03-06,2025-03-03,2025-02-28T15:15:00+05:30,22127.4,22200.59,BELOW_SMA,22150,CE,NIFTY_22150_CE_06_MAR_25.csv,2025-02-28T15:29:00+05:30,162.05,2025-03-03T09:16:00+05:30,184.5,22350,NIFTY_22350_CE_06_MAR_25.csv,2025-02-28T15:29:00+05:30,72.05,2025-03-03T09:16:00+05:30,80.3,-11830.00,100.00,-11930.00,
2025-03-03,TRADED,,2025-03-06,2025-03-04,2025-03-03T15:15:00+05:30,22143.15,22092.64,ABOVE_SMA,22150,PE,NIFTY_22150_PE_06_MAR_25.csv,2025-03-03T15:29:00+05:30,109.35,2025-03-04T09:16:00+05:30,192.95,21950,NIFTY_21950_PE_06_MAR_25.csv,2025-03-03T15:29:00+05:30,44.0,2025-03-04T09:16:00+05:30,83.05,-31557.50,100.00,-31657.50,
2025-03-04,TRADED,,2025-03-06,2025-03-05,2025-03-04T15:15:00+05:30,22080.3,22065.48,ABOVE_SMA,22100,PE,NIFTY_22100_PE_06_MAR_25.csv,2025-03-04T15:29:00+05:30,109.45,2025-03-05T09:16:00+05:30,80.25,21900,NIFTY_21900_PE_06_MAR_25.csv,2025-03-04T15:29:00+05:30,37.9,2025-03-05T09:16:00+05:30,22.3,6240.00,100.00,6140.00,
2025-03-05,TRADED,,2025-03-06,2025-03-06,2025-03-05T15:15:00+05:30,22346.65,22313.18,ABOVE_SMA,22350,PE,NIFTY_22350_PE_06_MAR_25.csv,2025-03-05T15:29:00+05:30,84.65,2025-03-06T09:16:00+05:30,23.2,22150,NIFTY_22150_PE_06_MAR_25.csv,2025-03-05T15:29:00+05:30,24.95,2025-03-06T09:16:00+05:30,5.6,24765.00,100.00,24665.00,
2025-03-06,TRADED,,2025-03-13,2025-03-07,2025-03-06T15:15:00+05:30,22529.2,22432.01,ABOVE_SMA,22550,PE,NIFTY_22550_PE_13_MAR_25.csv,2025-03-06T15:29:00+05:30,161.05,2025-03-07T09:16:00+05:30,176.85,22350,NIFTY_22350_PE_13_MAR_25.csv,2025-03-06T15:29:00+05:30,86.7,2025-03-07T09:16:00+05:30,95.1,-7410.00,100.00,-7510.00,
2025-03-07,TRADED,,2025-03-13,2025-03-10,2025-03-07T15:15:00+05:30,22536.95,22564.86,BELOW_SMA,22550,CE,NIFTY_22550_CE_13_MAR_25.csv,2025-03-07T15:29:00+05:30,150.15,2025-03-10T09:16:00+05:30,136.3,22750,NIFTY_22750_CE_13_MAR_25.csv,2025-03-07T15:29:00+05:30,61.2,2025-03-10T09:16:00+05:30,53.9,1657.50,100.00,1557.50,
2025-03-10,TRADED,,2025-03-13,2025-03-11,2025-03-10T15:15:00+05:30,22441.1,22575.33,BELOW_SMA,22450,CE,NIFTY_22450_CE_13_MAR_25.csv,2025-03-10T15:29:00+05:30,118.3,2025-03-11T09:16:00+05:30,70.35,22650,NIFTY_22650_CE_13_MAR_25.csv,2025-03-10T15:29:00+05:30,40.9,2025-03-11T09:16:00+05:30,23.55,17290.00,100.00,17190.00,
2025-03-11,TRADED,,2025-03-13,2025-03-12,2025-03-11T15:15:00+05:30,22520.5,22453.13,ABOVE_SMA,22500,PE,NIFTY_22500_PE_13_MAR_25.csv,2025-03-11T15:29:00+05:30,90.9,2025-03-12T09:16:00+05:30,68.05,22300,NIFTY_22300_PE_13_MAR_25.csv,2025-03-11T15:29:00+05:30,34.05,2025-03-12T09:16:00+05:30,21.75,4257.50,100.00,4157.50,
2025-03-12,TRADED,,2025-03-13,2025-03-13,2025-03-12T15:15:00+05:30,22468.5,22419.46,ABOVE_SMA,22450,PE,NIFTY_22450_PE_13_MAR_25.csv,2025-03-12T15:29:00+05:30,54.3,2025-03-13T09:16:00+05:30,34.95,22250,NIFTY_22250_PE_13_MAR_25.csv,2025-03-12T15:29:00+05:30,12.95,2025-03-13T09:16:00+05:30,6.9,6045.00,100.00,5945.00,
2025-03-13,TRADED,,2025-03-20,2025-03-17,2025-03-13T15:15:00+05:30,22383.3,22455.65,BELOW_SMA,22400,CE,NIFTY_22400_CE_20_MAR_25.csv,2025-03-13T15:29:00+05:30,137.4,2025-03-17T09:16:00+05:30,199.95,22600,NIFTY_22600_CE_20_MAR_25.csv,2025-03-13T15:29:00+05:30,54.2,2025-03-17T09:16:00+05:30,85.8,-22717.50,100.00,-22817.50,
2025-03-17,TRADED,,2025-03-20,2025-03-18,2025-03-17T15:15:00+05:30,22515.25,22501.77,ABOVE_SMA,22500,PE,NIFTY_22500_PE_20_MAR_25.csv,2025-03-17T15:29:00+05:30,94.6,2025-03-18T09:16:00+05:30,61.8,22300,NIFTY_22300_PE_20_MAR_25.csv,2025-03-17T15:29:00+05:30,35.7,2025-03-18T09:16:00+05:30,22.75,10302.50,100.00,10202.50,
2025-03-18,TRADED,,2025-03-20,2025-03-19,2025-03-18T15:15:00+05:30,22848.75,22759.58,ABOVE_SMA,22850,PE,NIFTY_22850_PE_20_MAR_25.csv,2025-03-18T15:29:00+05:30,86.25,2025-03-19T09:16:00+05:30,80.5,22650,NIFTY_22650_PE_20_MAR_25.csv,2025-03-18T15:29:00+05:30,33.2,2025-03-19T09:16:00+05:30,28.95,-1625.00,100.00,-1725.00,
2025-03-19,TRADED,,2025-03-20,2025-03-20,2025-03-19T15:15:00+05:30,22911.8,22901.21,ABOVE_SMA,22900,PE,NIFTY_22900_PE_20_MAR_25.csv,2025-03-19T15:29:00+05:30,62.2,2025-03-20T09:16:00+05:30,31.2,22700,NIFTY_22700_PE_20_MAR_25.csv,2025-03-19T15:29:00+05:30,22.0,2025-03-20T09:16:00+05:30,8.25,8612.50,100.00,8512.50,
2025-03-20,TRADED,,2025-03-27,2025-03-21,2025-03-20T15:15:00+05:30,23165.7,23106.73,ABOVE_SMA,23150,PE,NIFTY_23150_PE_27_MAR_25.csv,2025-03-20T15:29:00+05:30,117.25,2025-03-21T09:16:00+05:30,116.55,22950,NIFTY_22950_PE_27_MAR_25.csv,2025-03-20T15:29:00+05:30,52.65,2025-03-21T09:16:00+05:30,52.6,-2177.50,100.00,-2277.50,
2025-03-21,TRADED,,2025-03-27,2025-03-24,2025-03-21T15:15:00+05:30,23355.65,23333.50,ABOVE_SMA,23350,PE,NIFTY_23350_PE_27_MAR_25.csv,2025-03-21T15:29:00+05:30,110.1,2025-03-24T09:16:00+05:30,70.09,23150,NIFTY_23150_PE_27_MAR_25.csv,2025-03-21T15:29:00+05:30,47.9,2025-03-24T09:16:00+05:30,28.65,10894.00,100.00,10794.00,
2025-03-24,TRADED,,2025-03-27,2025-03-25,2025-03-24T15:15:00+05:30,23674.15,23619.53,ABOVE_SMA,23650,PE,NIFTY_23650_PE_27_MAR_25.csv,2025-03-24T15:29:00+05:30,102.75,2025-03-25T09:16:00+05:30,84.75,23450,NIFTY_23450_PE_27_MAR_25.csv,2025-03-24T15:29:00+05:30,47.5,2025-03-25T09:16:00+05:30,37.45,2567.50,100.00,2467.50,
2025-03-25,TRADED,,2025-03-27,2025-03-26,2025-03-25T15:15:00+05:30,23605.95,23711.13,BELOW_SMA,23600,CE,NIFTY_23600_CE_27_MAR_25.csv,2025-03-25T15:29:00+05:30,150.65,2025-03-26T09:16:00+05:30,159.3,23800,NIFTY_23800_CE_27_MAR_25.csv,2025-03-25T15:29:00+05:30,58.15,2025-03-26T09:16:00+05:30,58.9,-7735.00,100.00,-7835.00,
2025-03-26,TRADED,,2025-03-27,2025-03-27,2025-03-26T15:15:00+05:30,23464.3,23597.70,BELOW_SMA,23450,CE,NIFTY_23450_CE_27_MAR_25.csv,2025-03-26T15:29:00+05:30,112.3,2025-03-27T09:16:00+05:30,70.0,23650,NIFTY_23650_CE_27_MAR_25.csv,2025-03-26T15:29:00+05:30,29.45,2025-03-27T09:16:00+05:30,12.85,14105.00,100.00,14005.00,
2025-03-27,TRADED,,2025-04-03,2025-03-28,2025-03-27T15:15:00+05:30,23601.05,23593.97,ABOVE_SMA,23600,PE,NIFTY_23600_PE_03_APR_25.csv,2025-03-27T15:29:00+05:30,120.35,2025-03-28T09:16:00+05:30,135.0,23400,NIFTY_23400_PE_03_APR_25.csv,2025-03-27T15:29:00+05:30,62.25,2025-03-28T09:16:00+05:30,68.3,-8190.00,100.00,-8290.00,
2025-03-28,TRADED,,2025-04-03,2025-04-01,2025-03-28T15:15:00+05:30,23495.15,23547.31,BELOW_SMA,23500,CE,NIFTY_23500_CE_03_APR_25.csv,2025-03-28T15:29:00+05:30,130.5,2025-04-01T09:16:00+05:30,79.15,23700,NIFTY_23700_CE_03_APR_25.csv,2025-03-28T15:29:00+05:30,49.3,2025-04-01T09:16:00+05:30,24.25,14495.00,100.00,14395.00,
