range_label,moneyness,offset_points,entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,target_strike,sold_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
OTM_200,OTM,200,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,25100,CE,NIFTY_25100_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,43.8,2025-09-26T09:16:00+05:30,24.05,4615.00,50.00,4565.00,
OTM_300,OTM,300,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,25200,CE,NIFTY_25200_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,24.15,2025-09-26T09:16:00+05:30,13.15,2340.00,50.00,2290.00,
OTM_400,OTM,400,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,25300,CE,NIFTY_25300_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,13.85,2025-09-26T09:16:00+05:30,7.65,1092.00,50.00,1042.00,
OTM_500,OTM,500,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,25400,CE,NIFTY_25400_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,8.2,2025-09-26T09:16:00+05:30,4.8,364.00,50.00,314.00,
ITM_100,ITM,100,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,24800,CE,NIFTY_24800_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,203.35,2025-09-26T09:16:00+05:30,137.55,16588.00,50.00,16538.00,
ITM_200,ITM,200,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,24700,CE,NIFTY_24700_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,287.0,2025-09-26T09:16:00+05:30,208.2,19968.00,50.00,19918.00,
ITM_300,ITM,300,2025-09-25,TRADED,,2025-09-30,2025-09-26,2025-09-25T15:15:00+05:30,24904.55,24988.58,BELOW_SMA,24900,24600,CE,NIFTY_24600_CE_30_SEP_25.csv,2025-09-25T15:29:00+05:30,378.5,2025-09-26T09:16:00+05:30,292.0,21970.00,50.00,21920.00,
OTM_100,OTM,100,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,24750,CE,NIFTY_24750_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,62.6,2025-09-29T09:16:00+05:30,78.5,-4654.00,50.00,-4704.00,
OTM_200,OTM,200,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,24850,CE,NIFTY_24850_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,33.1,2025-09-29T09:16:00+05:30,36.9,-1508.00,50.00,-1558.00,
OTM_300,OTM,300,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,24950,CE,NIFTY_24950_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,18.7,2025-09-29T09:16:00+05:30,17.15,-117.00,50.00,-167.00,
OTM_400,OTM,400,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,25050,CE,NIFTY_25050_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,11.05,2025-09-29T09:16:00+05:30,8.85,52.00,50.00,2.00,
OTM_500,OTM,500,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,25150,CE,NIFTY_25150_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,7.25,2025-09-29T09:16:00+05:30,5.2,13.00,50.00,-37.00,
ITM_100,ITM,100,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,24550,CE,NIFTY_24550_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,182.7,2025-09-29T09:16:00+05:30,228.45,-12415.00,50.00,-12465.00,
ITM_200,ITM,200,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,24450,CE,NIFTY_24450_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,266.3,2025-09-29T09:16:00+05:30,321.15,-14781.00,50.00,-14831.00,
ITM_300,ITM,300,2025-09-26,TRADED,,2025-09-30,2025-09-29,2025-09-26T15:15:00+05:30,24673.1,24739.79,BELOW_SMA,24650,24350,CE,NIFTY_24350_CE_30_SEP_25.csv,2025-09-26T15:29:00+05:30,357.9,2025-09-29T09:16:00+05:30,413.85,-15067.00,50.00,-15117.00,
OTM_100,OTM,100,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,24800,CE,NIFTY_24800_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,17.95,2025-09-30T09:16:00+05:30,21.25,-1378.00,50.00,-1428.00,
OTM_200,OTM,200,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,24900,CE,NIFTY_24900_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,8.9,2025-09-30T09:16:00+05:30,7.7,-208.00,50.00,-258.00,
OTM_300,OTM,300,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,25000,CE,NIFTY_25000_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,5.7,2025-09-30T09:16:00+05:30,3.6,26.00,50.00,-24.00,
OTM_400,OTM,400,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,25100,CE,NIFTY_25100_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,4.35,2025-09-30T09:16:00+05:30,2.6,-65.00,50.00,-115.00,
OTM_500,OTM,500,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,25200,CE,NIFTY_25200_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,3.45,2025-09-30T09:16:00+05:30,2.2,-195.00,50.00,-245.00,
ITM_100,ITM,100,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,24600,CE,NIFTY_24600_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,115.2,2025-09-30T09:16:00+05:30,135.7,-5850.00,50.00,-5900.00,
ITM_200,ITM,200,2025-09-29,TRADED,,2025-09-30,2025-09-30,2025-09-29T15:15:00+05:30,24677.55,24701.98,BELOW_SMA,24700,24500,CE,NIFTY_24500_CE_30_SEP_25.csv,2025-09-29T15:29:00+05:30,202.0,2025-09-30T09:16:00+05:30,226.2,-6812.00,50.00,-6862.00,
