entry_date,status,skip_reason,index,active_expiry,spot,atm_strike,ce_strike,ce_entry_price,ce_stop_price,ce_exit_price,ce_exit_timestamp,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_net_pnl,ce_failure_reason,pe_strike,pe_entry_price,pe_stop_price,pe_exit_price,pe_exit_timestamp,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_net_pnl,pe_failure_reason,lot_size,lots,total_qty,combined_entry_credit,gross_pnl,brokerage,net_pnl,remarks,cumulative_pnl
2024-12-30,TRADED,,NIFTY,2025-01-02,23796.9,23800,24000,39.15,78.30,78.30,2024-12-30T11:32:00+05:30,stop_loss,-41.15,-3086.25,-3136.25,,23600,65.8,131.60,83.70,2024-12-30T15:20:00+05:30,day_close,-19.90,-1492.50,-1542.50,,75,1,75,104.95,-4578.75,100.00,-4678.75,,-7755.40
2024-12-31,TRADED,,NIFTY,2025-01-02,23560.6,23550,23750,55.4,110.80,110.80,2024-12-31T13:39:00+05:30,stop_loss,-57.40,-4305.00,-4355.00,,23350,50.6,101.20,31.65,2024-12-31T15:20:00+05:30,day_close,16.95,1271.25,1221.25,,75,1,75,106.00,-3033.75,100.00,-3133.75,,-10889.15
2025-01-01,TRADED,,NIFTY,2025-01-02,23637.65,23650,23850,42.3,84.60,84.60,2025-01-01T10:49:00+05:30,stop_loss,-44.30,-3322.50,-3372.50,,23450,46.8,93.60,26.25,2025-01-01T15:20:00+05:30,day_close,18.55,1391.25,1341.25,,75,1,75,89.10,-1931.25,100.00,-2031.25,,-12920.40
2025-01-02,TRADED,,NIFTY,2025-01-02,23783.0,23800,24000,28.6,57.20,57.20,2025-01-02T10:49:00+05:30,stop_loss,-30.60,-2295.00,-2345.00,,23600,55.1,110.20,0.15,2025-01-02T15:20:00+05:30,day_close,52.95,3971.25,3921.25,,75,1,75,83.70,1676.25,100.00,1576.25,,-11344.15
2025-01-03,TRADED,,SENSEX,2025-01-03,79700,79700,80300,111.4,222.80,0.15,2025-01-03T15:20:00+05:30,day_close,109.25,1092.50,1042.50,,79100,120.5,241.00,0.45,2025-01-03T15:20:00+05:30,day_close,118.05,1180.50,1130.50,,10,1,10,231.90,2273.00,100.00,2173.00,,-9171.15
2025-01-06,TRADED,,SENSEX,2025-01-07,79200,79200,79800,167.8,335.60,22.40,2025-01-06T15:20:00+05:30,day_close,143.40,1434.00,1384.00,,78600,134.69,269.38,269.38,2025-01-06T10:41:00+05:30,stop_loss,-136.69,-1366.90,-1416.90,,10,1,10,302.49,67.10,100.00,-32.90,,-9204.05
2025-01-07,TRADED,,SENSEX,2025-01-07,78400,78400,79000,78.05,156.10,0.10,2025-01-07T15:20:00+05:30,day_close,75.95,759.50,709.50,,77800,74.34,148.68,148.68,2025-01-07T09:49:00+05:30,stop_loss,-76.34,-763.40,-813.40,,10,1,10,152.39,-3.90,100.00,-103.90,,-9307.95
2025-01-08,TRADED,,NIFTY,2025-01-09,23746.65,23750,23950,14.5,29.00,14.25,2025-01-08T15:20:00+05:30,day_close,-1.75,-131.25,-181.25,,23550,63.25,126.50,25.55,2025-01-08T15:20:00+05:30,day_close,35.70,2677.50,2627.50,,75,1,75,77.75,2546.25,100.00,2446.25,,-6861.70
2025-01-09,TRADED,,NIFTY,2025-01-09,23674.75,23650,23850,8.1,16.20,0.05,2025-01-09T15:20:00+05:30,day_close,6.05,453.75,403.75,,23450,11.7,23.40,23.40,2025-01-09T10:47:00+05:30,stop_loss,-13.70,-1027.50,-1077.50,,75,1,75,19.80,-573.75,100.00,-673.75,,-7535.45
2025-01-10,TRADED,,SENSEX,2025-01-14,77700,77700,78300,219.05,438.10,90.35,2025-01-10T15:20:00+05:30,day_close,126.70,1267.00,1217.00,,77100,244.55,489.10,238.80,2025-01-10T15:20:00+05:30,day_close,3.75,37.50,-12.50,,10,1,10,463.60,1304.50,100.00,1204.50,,-6330.95
2025-01-13,TRADED,,SENSEX,2025-01-14,76800,76800,77400,131.85,263.70,29.60,2025-01-13T15:20:00+05:30,day_close,100.25,1002.50,952.50,,76200,133.15,266.30,143.10,2025-01-13T15:20:00+05:30,day_close,-11.95,-119.50,-169.50,,10,1,10,265.00,883.00,100.00,783.00,,-5547.95
2025-01-14,TRADED,,SENSEX,2025-01-14,76700,76700,77300,31.1,62.20,0.10,2025-01-14T15:20:00+05:30,day_close,29.00,290.00,240.00,,76100,46.7,93.40,0.15,2025-01-14T15:20:00+05:30,day_close,44.55,445.50,395.50,,10,1,10,77.80,735.50,100.00,635.50,,-4912.45
2025-01-15,TRADED,,NIFTY,2025-01-16,23250.45,23250,23450,13.7,27.40,7.55,2025-01-15T15:20:00+05:30,day_close,4.15,311.25,261.25,,23050,28.2,56.40,17.35,2025-01-15T15:20:00+05:30,day_close,8.85,663.75,613.75,,75,1,75,41.90,975.00,100.00,875.00,,-4037.45
2025-01-16,TRADED,,NIFTY,2025-01-16,23377.25,23400,23600,3.8,7.60,0.05,2025-01-16T15:20:00+05:30,day_close,1.75,131.25,81.25,,23200,6.95,13.90,0.05,2025-01-16T15:20:00+05:30,day_close,4.90,367.50,317.50,,75,1,75,10.75,498.75,100.00,398.75,,-3638.70
2025-01-17,TRADED,,SENSEX,2025-01-21,76800,76800,77400,184.4,368.80,132.55,2025-01-17T15:20:00+05:30,day_close,49.85,498.50,448.50,,76200,203.6,407.20,407.20,2025-01-17T10:59:00+05:30,stop_loss,-205.60,-2056.00,-2106.00,,10,1,10,388.00,-1557.50,100.00,-1657.50,,-5296.20
2025-01-20,TRADED,,SENSEX,2025-01-21,76700,76700,77300,172.6,345.20,217.50,2025-01-20T15:20:00+05:30,day_close,-46.90,-469.00,-519.00,,76100,165.1,330.20,44.70,2025-01-20T15:20:00+05:30,day_close,118.40,1184.00,1134.00,,10,1,10,337.70,715.00,100.00,615.00,,-4681.20
