entry_date,status,skip_reason,index,active_expiry,spot,atm_strike,ce_strike,ce_entry_price,ce_stop_price,ce_exit_price,ce_exit_timestamp,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_net_pnl,ce_failure_reason,pe_strike,pe_entry_price,pe_stop_price,pe_exit_price,pe_exit_timestamp,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_net_pnl,pe_failure_reason,lot_size,lots,total_qty,combined_entry_credit,gross_pnl,brokerage,net_pnl,remarks,cumulative_pnl
2024-11-13,TRADED,,NIFTY,2024-11-14,23822.45,23800,24000,43.3,86.60,6.05,2024-11-13T15:20:00+05:30,day_close,35.25,881.25,831.25,,23600,41.8,83.60,83.60,2024-11-13T14:22:00+05:30,stop_loss,-43.80,-1095.00,-1145.00,,25,1,25,85.10,-213.75,100.00,-313.75,,-12959.75
2024-11-14,TRADED,,NIFTY,2024-11-14,23542.15,23550,23750,25.7,51.40,0.05,2024-11-14T15:20:00+05:30,day_close,23.65,591.25,541.25,,23350,16.0,32.00,0.10,2024-11-14T15:20:00+05:30,day_close,13.90,347.50,297.50,,25,1,25,41.70,938.75,100.00,838.75,,-12121.00
2024-11-18,TRADED,,NIFTY,2024-11-21,23605.3,23600,23800,31.1,62.20,16.45,2024-11-18T15:20:00+05:30,day_close,12.65,316.25,266.25,,23400,116.15,232.30,87.90,2024-11-18T15:20:00+05:30,day_close,26.25,656.25,606.25,,25,1,25,147.25,972.50,100.00,872.50,,-11248.50
2024-11-19,TRADED,,NIFTY,2024-11-21,23529.55,23550,23750,69.6,139.20,22.30,2024-11-19T15:20:00+05:30,day_close,45.30,1132.50,1082.50,,23350,22.9,45.80,45.80,2024-11-19T15:02:00+05:30,stop_loss,-24.90,-622.50,-672.50,,25,1,25,92.50,510.00,100.00,410.00,,-10838.50
2024-11-21,TRADED,,NIFTY,2024-11-21,23488.45,23500,23700,6.8,13.60,0.05,2024-11-21T15:20:00+05:30,day_close,4.75,118.75,68.75,,23300,47.7,95.40,0.05,2024-11-21T15:20:00+05:30,day_close,45.65,1141.25,1091.25,,25,1,25,54.50,1260.00,100.00,1160.00,,-9678.50
2024-11-22,TRADED,,SENSEX,2024-11-22,77700,77700,78300,99.85,199.70,199.70,2024-11-22T10:05:00+05:30,stop_loss,-101.85,-1018.50,-1068.50,,77100,117.6,235.20,235.20,2024-11-22T09:39:00+05:30,stop_loss,-119.60,-1196.00,-1246.00,,10,1,10,217.45,-2214.50,100.00,-2314.50,,-11993.00
2024-11-25,TRADED,,NIFTY,2024-11-28,24253.55,24250,24450,111.65,223.30,65.85,2024-11-25T15:20:00+05:30,day_close,43.80,3285.00,3235.00,,24050,70.65,141.30,61.00,2024-11-25T15:20:00+05:30,day_close,7.65,573.75,523.75,,75,1,75,182.30,3858.75,100.00,3758.75,,-8234.25
2024-11-26,TRADED,,NIFTY,2024-11-28,24343.3,24350,24550,38.8,77.60,15.40,2024-11-26T15:20:00+05:30,day_close,21.40,1605.00,1555.00,,24150,71.5,143.00,81.80,2024-11-26T15:20:00+05:30,day_close,-12.30,-922.50,-972.50,,75,1,75,110.30,682.50,100.00,582.50,,-7651.75
2024-11-27,TRADED,,NIFTY,2024-11-28,24204.8,24200,24400,23.75,47.50,47.50,2024-11-27T12:33:00+05:30,stop_loss,-25.75,-1931.25,-1981.25,,24000,34.8,69.60,9.30,2024-11-27T15:20:00+05:30,day_close,23.50,1762.50,1712.50,,75,1,75,58.55,-168.75,100.00,-268.75,,-7920.50
2024-11-28,TRADED,,NIFTY,2024-11-28,24274.15,24250,24450,19.55,39.10,0.20,2024-11-28T15:20:00+05:30,day_close,17.35,1301.25,1251.25,,24050,12.05,24.10,24.10,2024-11-28T10:33:00+05:30,stop_loss,-14.05,-1053.75,-1103.75,,75,1,75,31.60,247.50,100.00,147.50,,-7773.00
2024-11-29,TRADED,,SENSEX,2024-11-29,79400,79400,80000,163.19,326.38,0.05,2024-11-29T15:20:00+05:30,day_close,161.14,1611.40,1561.40,,78800,175.2,350.40,0.10,2024-11-29T15:20:00+05:30,day_close,173.10,1731.00,1681.00,,10,1,10,338.39,3342.40,100.00,3242.40,,-4530.60
2024-12-02,TRADED,,NIFTY,2024-12-05,24140.85,24150,24350,41.8,83.60,83.60,2024-12-02T10:15:00+05:30,stop_loss,-43.80,-3285.00,-3335.00,,23950,104.9,209.80,53.80,2024-12-02T15:20:00+05:30,day_close,49.10,3682.50,3632.50,,75,1,75,146.70,397.50,100.00,297.50,,-4233.10
2024-12-03,TRADED,,NIFTY,2024-12-05,24367.5,24350,24550,58.9,117.80,75.75,2024-12-03T15:20:00+05:30,day_close,-18.85,-1413.75,-1463.75,,24150,96.5,193.00,49.65,2024-12-03T15:20:00+05:30,day_close,44.85,3363.75,3313.75,,75,1,75,155.40,1950.00,100.00,1850.00,,-2383.10
2024-12-04,TRADED,,NIFTY,2024-12-05,24488.75,24500,24700,43.6,87.20,28.85,2024-12-04T15:20:00+05:30,day_close,12.75,956.25,906.25,,24300,58.3,116.60,116.60,2024-12-04T11:57:00+05:30,stop_loss,-60.30,-4522.50,-4572.50,,75,1,75,101.90,-3566.25,100.00,-3666.25,,-6049.35
2024-12-05,TRADED,,NIFTY,2024-12-05,24539.15,24550,24750,26.4,52.80,52.80,2024-12-05T12:15:00+05:30,stop_loss,-28.40,-2130.00,-2180.00,,24350,60.95,121.90,121.90,2024-12-05T09:48:00+05:30,stop_loss,-62.95,-4721.25,-4771.25,,75,1,75,87.35,-6851.25,100.00,-6951.25,,-13000.60
2024-12-06,TRADED,,SENSEX,2024-12-06,81800,81800,82400,144.44,288.88,0.15,2024-12-06T15:20:00+05:30,day_close,142.29,1422.90,1372.90,,81200,146.69,293.38,0.15,2024-12-06T15:20:00+05:30,day_close,144.54,1445.40,1395.40,,10,1,10,291.13,2868.30,100.00,2768.30,,-10232.30
2024-12-09,TRADED,,NIFTY,2024-12-12,24633.9,24650,24850,89.95,179.90,60.90,2024-12-09T15:20:00+05:30,day_close,27.05,2028.75,1978.75,,24450,87.95,175.90,82.50,2024-12-09T15:20:00+05:30,day_close,3.45,258.75,208.75,,75,1,75,177.90,2287.50,100.00,2187.50,,-8044.80
2024-12-10,TRADED,,NIFTY,2024-12-12,24652.65,24650,24850,46.2,92.40,35.55,2024-12-10T15:20:00+05:30,day_close,8.65,648.75,598.75,,24450,71.6,143.20,58.65,2024-12-10T15:20:00+05:30,day_close,10.95,821.25,771.25,,75,1,75,117.80,1470.00,100.00,1370.00,,-6674.80
2024-12-11,TRADED,,NIFTY,2024-12-12,24620.5,24600,24800,35.3,70.60,22.45,2024-12-11T15:20:00+05:30,day_close,10.85,813.75,763.75,,24400,25.25,50.50,13.55,2024-12-11T15:20:00+05:30,day_close,9.70,727.50,677.50,,75,1,75,60.55,1541.25,100.00,1441.25,,-5233.55
2024-12-12,TRADED,,NIFTY,2024-12-12,24604.45,24600,24800,15.1,30.20,0.15,2024-12-12T15:20:00+05:30,day_close,12.95,971.25,921.25,,24400,7.05,14.10,14.10,2024-12-12T11:38:00+05:30,stop_loss,-9.05,-678.75,-728.75,,75,1,75,22.15,292.50,100.00,192.50,,-5041.05
