entry_date,status,skip_reason,expiry_date,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-03-06,TRADED,,2025-03-13,2025-03-07,2025-03-06T15:20:00+05:30,22544.8,22550,2025-03-06T15:20:00+05:30,159.69,2025-03-07T09:16:00+05:30,132.0,2025-03-06T15:20:00+05:30,155.65,2025-03-07T09:16:00+05:30,176.85,6.49,100.00,-93.51,0,
2025-03-07,TRADED,,2025-03-13,2025-03-10,2025-03-07T15:20:00+05:30,22544.05,22550,2025-03-07T15:20:00+05:30,152.8,2025-03-10T09:16:00+05:30,136.3,2025-03-07T15:20:00+05:30,127.0,2025-03-10T09:16:00+05:30,130.1,13.40,100.00,-86.60,0,
2025-03-10,TRADED,,2025-03-13,2025-03-11,2025-03-10T15:20:00+05:30,22452.8,22450,2025-03-10T15:20:00+05:30,128.2,2025-03-11T09:16:00+05:30,70.35,2025-03-10T15:20:00+05:30,114.85,2025-03-11T09:16:00+05:30,177.35,-4.65,100.00,-104.65,0,
2025-03-11,TRADED,,2025-03-13,2025-03-12,2025-03-11T15:20:00+05:30,22503.25,22500,2025-03-11T15:20:00+05:30,107.85,2025-03-12T09:16:00+05:30,118.8,2025-03-11T15:20:00+05:30,100.75,2025-03-12T09:16:00+05:30,68.05,21.75,100.00,-78.25,0,
2025-03-12,TRADED,,2025-03-13,2025-03-13,2025-03-12T15:20:00+05:30,22460.45,22450,2025-03-12T15:20:00+05:30,81.25,2025-03-13T09:16:00+05:30,74.0,2025-03-12T15:20:00+05:30,57.75,2025-03-13T09:16:00+05:30,34.95,30.05,100.00,-69.95,0,
2025-03-13,TRADED,,2025-03-20,2025-03-17,2025-03-13T15:20:00+05:30,22407.85,22400,2025-03-13T15:20:00+05:30,143.85,2025-03-17T09:16:00+05:30,199.95,2025-03-13T15:20:00+05:30,124.85,2025-03-17T09:16:00+05:30,75.55,-6.80,100.00,-106.80,0,
2025-03-17,TRADED,,2025-03-20,2025-03-18,2025-03-17T15:20:00+05:30,22510.15,22500,2025-03-17T15:20:00+05:30,131.0,2025-03-18T09:16:00+05:30,189.0,2025-03-17T15:20:00+05:30,99.7,2025-03-18T09:16:00+05:30,61.8,-20.10,100.00,-120.10,0,
2025-03-18,TRADED,,2025-03-20,2025-03-19,2025-03-18T15:20:00+05:30,22848.65,22850,2025-03-18T15:20:00+05:30,97.95,2025-03-19T09:16:00+05:30,97.5,2025-03-18T15:20:00+05:30,87.2,2025-03-19T09:16:00+05:30,80.5,7.15,100.00,-92.85,0,
2025-03-19,TRADED,,2025-03-20,2025-03-20,2025-03-19T15:20:00+05:30,22900.6,22900,2025-03-19T15:20:00+05:30,97.15,2025-03-20T09:16:00+05:30,127.75,2025-03-19T15:20:00+05:30,67.59,2025-03-20T09:16:00+05:30,31.2,5.79,100.00,-94.21,0,
2025-03-20,TRADED,,2025-03-27,2025-03-21,2025-03-20T15:20:00+05:30,23187.7,23200,2025-03-20T15:20:00+05:30,134.8,2025-03-21T09:16:00+05:30,129.65,2025-03-20T15:20:00+05:30,138.05,2025-03-21T09:16:00+05:30,138.4,4.80,100.00,-95.20,0,
