entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,target_hit_exits,premium_sl_exits,sma_cross_exits,day_close_exits,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,stop_out_count,sl_capped,remarks
2019-04-23,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 10.91 < min 50 pts; close=11634.0 sma=11644.91; Gap 8.03 < min 50 pts; close=11636.0 sma=11644.03; Gap 30.52 < min 50 pts; close=11611.5 sma=11642.02; Gap 35.26 < min 50 pts; close=11604.5 sma=11639.76; Gap 25.80 < min 50 pts; close=11611.6 sma=11637.40; Gap 16.47 < min 50 pts; close=11619.2 sma=11635.67; Gap 24.44 < min 50 pts; close=11609.0 sma=11633.44; Gap 17.09 < min 50 pts; close=11614.3 sma=11631.39; Gap 15.30 < min 50 pts; close=11614.0 sma=11629.30; Gap 3.65 < min 50 pts; close=11624.2 sma=11627.85; Gap 10.69 < min 50 pts; close=11637.8 sma=11627.11; Gap 1.74 < min 50 pts; close=11627.7 sma=11625.96; Gap 0.32 < min 50 pts; close=11624.9 sma=11624.58; Gap 5.50 < min 50 pts; close=11617.6 sma=11623.10; Gap 0.70 < min 50 pts; close=11621.3 sma=11622.00; Gap 5.21 < min 50 pts; close=11627.0 sma=11621.79; Gap 6.95 < min 50 pts; close=11614.1 sma=11621.05
2019-04-24,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 16.14 < min 50 pts; close=11599.0 sma=11615.14; Gap 14.85 < min 50 pts; close=11598.8 sma=11613.65; Gap 11.56 < min 50 pts; close=11601.7 sma=11613.26; Gap 12.40 < min 50 pts; close=11600.7 sma=11613.10; Gap 8.61 < min 50 pts; close=11604.2 sma=11612.81; Gap 4.94 < min 50 pts; close=11607.4 sma=11612.34; Gap 28.78 < min 50 pts; close=11582.5 sma=11611.28; Gap 20.78 < min 50 pts; close=11589.5 sma=11610.28; Gap 9.63 < min 50 pts; close=11600.1 sma=11609.73; Gap 7.03 < min 50 pts; close=11601.8 sma=11608.83; Gap 8.47 < min 50 pts; close=11598.8 sma=11607.27; Gap 3.38 < min 50 pts; close=11602.9 sma=11606.28; Gap 5.57 < min 50 pts; close=11599.7 sma=11605.27; Gap 2.82 < min 50 pts; close=11607.7 sma=11604.88; Gap 3.18 < min 50 pts; close=11607.5 sma=11604.32; Gap 3.48 < min 50 pts; close=11607.0 sma=11603.52; Gap 2.48 < min 50 pts; close=11600.5 sma=11602.98
2019-04-25,SKIPPED,gap_too_small;missing_option_entry_timestamp,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T09:30:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T09:45:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T10:00:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T10:15:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T10:30:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T10:45:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T11:00:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-04-25T11:15:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-04-25T11:30:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-04-25T11:45:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-04-25T12:00:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-04-25T12:15:00+05:30; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-04-25T12:30:00+05:30; Gap 42.87 < min 50 pts; close=11759.0 sma=11716.13; Gap 32.01 < min 50 pts; close=11754.0 sma=11721.99; Gap 38.61 < min 50 pts; close=11767.0 sma=11728.39; Gap 0.50 < min 50 pts; close=11733.2 sma=11733.70
2019-04-26,SKIPPED,gap_too_small;missing_option_entry_timestamp;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Missing option file: NIFTY_11650_CE_02_JAN_20.csv; Missing option file: NIFTY_11650_CE_02_JAN_20.csv; NIFTY_11700_CE_02_JAN_20.csv missing entry 2019-04-26T10:00:00+05:30; NIFTY_11700_CE_02_JAN_20.csv missing entry 2019-04-26T10:15:00+05:30; Gap 46.18 < min 50 pts; close=11684.8 sma=11730.98; NIFTY_11700_CE_02_JAN_20.csv missing entry 2019-04-26T10:45:00+05:30; Gap 48.43 < min 50 pts; close=11675.0 sma=11723.43; Gap 46.04 < min 50 pts; close=11673.3 sma=11719.34; Gap 44.04 < min 50 pts; close=11670.5 sma=11714.54; Gap 32.41 < min 50 pts; close=11677.8 sma=11710.21; Gap 25.35 < min 50 pts; close=11680.9 sma=11706.25; Gap 11.07 < min 50 pts; close=11691.6 sma=11702.67; Gap 18.35 < min 50 pts; close=11681.1 sma=11699.45; Gap 9.76 < min 50 pts; close=11686.8 sma=11696.56; Gap 14.08 < min 50 pts; close=11679.5 sma=11693.58; Gap 12.12 < min 50 pts; close=11677.9 sma=11690.02; Gap 1.36 < min 50 pts; close=11686.8 sma=11688.16
2019-04-30,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 15.15 < min 50 pts; close=11712.9 sma=11697.75; Gap 1.60 < min 50 pts; close=11700.6 sma=11699.00; Gap 33.82 < min 50 pts; close=11664.3 sma=11698.12; Gap 29.76 < min 50 pts; close=11667.8 sma=11697.56; Gap 32.92 < min 50 pts; close=11663.8 sma=11696.72; Gap 25.32 < min 50 pts; close=11671.2 sma=11696.52; Gap 5.96 < min 50 pts; close=11691.2 sma=11697.16; Gap 1.38 < min 50 pts; close=11699.6 sma=11698.22; Gap 1.56 < min 50 pts; close=11701.0 sma=11699.44; Gap 2.84 < min 50 pts; close=11703.3 sma=11700.46; Gap 4.87 < min 50 pts; close=11696.2 sma=11701.07; Gap 0.64 < min 50 pts; close=11700.8 sma=11701.44; Gap 0.21 < min 50 pts; close=11702.5 sma=11702.29; Gap 9.18 < min 50 pts; close=11712.5 sma=11703.32; Gap 12.01 < min 50 pts; close=11691.8 sma=11703.81; Gap 1.26 < min 50 pts; close=11706.2 sma=11704.94; Gap 2.11 < min 50 pts; close=11703.5 sma=11705.61
2019-05-02,SKIPPED,gap_too_small;missing_option_entry_timestamp,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 4.14 < min 50 pts; close=11703.9 sma=11699.76; NIFTY_11750_PE_02_JAN_20.csv missing entry 2019-05-02T09:45:00+05:30; Gap 36.07 < min 50 pts; close=11741.0 sma=11704.93; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-05-02T10:15:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-05-02T10:30:00+05:30; NIFTY_11800_PE_02_JAN_20.csv missing entry 2019-05-02T10:45:00+05:30; Gap 46.49 < min 50 pts; close=11767.9 sma=11721.41; Gap 46.73 < min 50 pts; close=11771.0 sma=11724.27; Gap 44.70 < min 50 pts; close=11771.8 sma=11727.10; Gap 37.64 < min 50 pts; close=11767.3 sma=11729.66; Gap 25.10 < min 50 pts; close=11757.2 sma=11732.10; Gap 11.61 < min 50 pts; close=11745.5 sma=11733.89; Gap 18.24 < min 50 pts; close=11754.2 sma=11735.96; Gap 15.04 < min 50 pts; close=11752.6 sma=11737.56; Gap 12.74 < min 50 pts; close=11726.2 sma=11738.94; Gap 13.25 < min 50 pts; close=11726.5 sma=11739.75; Gap 1.88 < min 50 pts; close=11739.3 sma=11741.18
2019-05-03,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 10.22 < min 50 pts; close=11741.7 sma=11751.92; Gap 12.84 < min 50 pts; close=11738.5 sma=11751.34; Gap 6.60 < min 50 pts; close=11744.9 sma=11751.50; Gap 1.69 < min 50 pts; close=11752.2 sma=11750.51; Gap 14.40 < min 50 pts; close=11764.2 sma=11749.80; Gap 8.38 < min 50 pts; close=11757.3 sma=11748.92; Gap 8.33 < min 50 pts; close=11756.8 sma=11748.47; Gap 10.05 < min 50 pts; close=11758.0 sma=11747.95; Gap 4.36 < min 50 pts; close=11751.5 sma=11747.14; Gap 0.67 < min 50 pts; close=11745.6 sma=11746.27; Gap 6.26 < min 50 pts; close=11739.3 sma=11745.56; Gap 0.71 < min 50 pts; close=11746.3 sma=11745.59; Gap 1.18 < min 50 pts; close=11744.0 sma=11745.18; Gap 8.09 < min 50 pts; close=11753.3 sma=11745.21; Gap 1.73 < min 50 pts; close=11747.8 sma=11746.07; Gap 2.32 < min 50 pts; close=11749.3 sma=11746.98; Gap 7.59 < min 50 pts; close=11739.4 sma=11746.99
2019-05-06,SKIPPED,gap_too_small;missing_option_entry_timestamp;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T09:30:00+05:30; Missing option file: NIFTY_11650_CE_02_JAN_20.csv; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T10:00:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T10:15:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T10:30:00+05:30; Missing option file: NIFTY_11650_CE_02_JAN_20.csv; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T11:00:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T11:15:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T11:30:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T11:45:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T12:00:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T12:15:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T12:30:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T12:45:00+05:30; Gap 47.99 < min 50 pts; close=11618.1 sma=11666.09; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T13:15:00+05:30; NIFTY_11600_CE_02_JAN_20.csv missing entry 2019-05-06T13:30:00+05:30
2019-05-07,SKIPPED,gap_too_small,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Gap 28.51 < min 50 pts; close=11639.6 sma=11611.09; Gap 10.89 < min 50 pts; close=11621.7 sma=11610.81; Gap 6.96 < min 50 pts; close=11617.5 sma=11610.54; Gap 6.30 < min 50 pts; close=11616.8 sma=11610.50; Gap 5.02 < min 50 pts; close=11615.2 sma=11610.18; Gap 3.03 < min 50 pts; close=11606.4 sma=11609.43; Gap 11.45 < min 50 pts; close=11597.0 sma=11608.45; Gap 12.11 < min 50 pts; close=11595.4 sma=11607.51; Gap 0.35 < min 50 pts; close=11607.0 sma=11607.35; Gap 4.58 < min 50 pts; close=11602.2 sma=11606.78; Gap 15.78 < min 50 pts; close=11622.8 sma=11607.02; Gap 14.22 < min 50 pts; close=11621.5 sma=11607.28; Gap 12.14 < min 50 pts; close=11619.5 sma=11607.36; Gap 19.46 < min 50 pts; close=11627.2 sma=11607.74; Gap 11.03 < min 50 pts; close=11618.8 sma=11607.77; Gap 9.86 < min 50 pts; close=11618.3 sma=11608.44; Gap 5.99 < min 50 pts; close=11602.4 sma=11608.39
2019-05-08,SKIPPED,gap_too_small;missing_option_entry_timestamp;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,Missing option file: NIFTY_11450_CE_02_JAN_20.csv; Missing option file: NIFTY_11450_CE_02_JAN_20.csv; Missing option file: NIFTY_11450_CE_02_JAN_20.csv; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T10:15:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T10:30:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T10:45:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T11:00:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T11:15:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T11:30:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T11:45:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T12:00:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T12:15:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T12:30:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T12:45:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T13:00:00+05:30; NIFTY_11400_CE_02_JAN_20.csv missing entry 2019-05-08T13:15:00+05:30; Gap 40.16 < min 50 pts; close=11419.0 sma=11459.16
2019-05-09,SKIPPED,gap_too_small;missing_option_entry_timestamp;missing_option_file,2020-01-02,0,0,0,0,0,0,0,17,0,0.00,0.00,0.00,0,False,NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T09:30:00+05:30; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T09:45:00+05:30; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T10:00:00+05:30; Missing option file: NIFTY_11350_CE_02_JAN_20.csv; Missing option file: NIFTY_11350_CE_02_JAN_20.csv; Gap 43.75 < min 50 pts; close=11341.0 sma=11384.75; Gap 35.12 < min 50 pts; close=11346.5 sma=11381.62; Gap 38.37 < min 50 pts; close=11340.2 sma=11378.57; Gap 40.78 < min 50 pts; close=11335.0 sma=11375.78; Gap 42.16 < min 50 pts; close=11330.8 sma=11372.96; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T12:00:00+05:30; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T12:15:00+05:30; Gap 48.90 < min 50 pts; close=11312.5 sma=11361.40; Gap 40.34 < min 50 pts; close=11317.2 sma=11357.54; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T13:00:00+05:30; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T13:15:00+05:30; NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-05-09T13:30:00+05:30
