entry_date,status,skip_reason,expiry_date,lot_size,lots,qty,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,atm_strike,sold_side,contract_name,option_entry_open,exit_timestamp,option_exit_open,exit_reason,exit_spot_ma,gross_pnl,brokerage,net_pnl,remarks
2023-08-03,TRADED,,2023-08-03,50,6,300,2023-08-03T14:15:00+05:30,19337.3,19443.05,BELOW_SMA,2023-08-03T14:30:00+05:30,19350,CE,NIFTY_19350_CE_03_AUG_23.csv,26.65,2023-08-03T15:15:00+05:30,27.7,day_close,19425.34,-915.00,50.00,-965.00,
2023-08-04,TRADED,,2023-08-10,50,6,300,2023-08-04T09:30:00+05:30,19443.2,19416.78,ABOVE_SMA,2023-08-04T09:45:00+05:30,19450,PE,NIFTY_19450_PE_10_AUG_23.csv,106.05,2023-08-04T14:05:00+05:30,83.05,stop_loss_ma_touch,19457.87,6300.00,50.00,6250.00,
2023-08-04,TRADED,,2023-08-10,50,6,300,2023-08-04T14:00:00+05:30,19482.4,19464.73,ABOVE_SMA,2023-08-04T14:15:00+05:30,19500,PE,NIFTY_19500_PE_10_AUG_23.csv,98.65,2023-08-04T14:35:00+05:30,96.15,stop_loss_ma_touch,19470.50,150.00,50.00,100.00,
2023-08-04,TRADED,,2023-08-10,50,6,300,2023-08-04T14:30:00+05:30,19506.7,19478.08,ABOVE_SMA,2023-08-04T14:45:00+05:30,19500,PE,NIFTY_19500_PE_10_AUG_23.csv,82.95,2023-08-04T15:15:00+05:30,71.95,day_close,19490.13,2700.00,50.00,2650.00,
2023-08-07,TRADED,,2023-08-10,50,6,300,2023-08-07T11:30:00+05:30,19545.9,19526.32,ABOVE_SMA,2023-08-07T11:45:00+05:30,19550,PE,NIFTY_19550_PE_10_AUG_23.csv,75.55,2023-08-07T15:15:00+05:30,50.7,day_close,19568.84,6855.00,50.00,6805.00,
2023-08-08,SKIPPED,random_skip,2023-08-10,0,0,0,,,,,2023-08-08T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-09,SKIPPED,random_skip,2023-08-10,0,0,0,,,,,2023-08-09T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-10,SKIPPED,random_skip,2023-08-10,0,0,0,,,,,2023-08-10T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-11,SKIPPED,random_skip,2023-08-17,0,0,0,,,,,2023-08-11T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-14,TRADED,,2023-08-17,50,6,300,2023-08-14T13:00:00+05:30,19362.2,19380.68,BELOW_SMA,2023-08-14T13:15:00+05:30,19350,CE,NIFTY_19350_CE_17_AUG_23.csv,81.05,2023-08-14T13:35:00+05:30,97.8,stop_loss_ma_touch,19376.30,-5625.00,50.00,-5675.00,
2023-08-14,TRADED,,2023-08-17,50,6,300,2023-08-14T13:30:00+05:30,19386.7,19373.07,ABOVE_SMA,2023-08-14T13:45:00+05:30,19400,PE,NIFTY_19400_PE_17_AUG_23.csv,69.25,2023-08-14T15:15:00+05:30,47.65,day_close,19365.39,5880.00,50.00,5830.00,
2023-08-16,SKIPPED,random_skip,2023-08-17,0,0,0,,,,,2023-08-16T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-17,SKIPPED,random_skip,2023-08-17,0,0,0,,,,,2023-08-17T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-18,TRADED,,2023-08-24,50,6,300,2023-08-18T14:00:00+05:30,19353.8,19303.42,ABOVE_SMA,2023-08-18T14:15:00+05:30,19350,PE,NIFTY_19350_PE_24_AUG_23.csv,87.55,2023-08-18T15:15:00+05:30,100.5,day_close,19299.20,-4485.00,50.00,-4535.00,
2023-08-21,SKIPPED,random_skip,2023-08-24,0,0,0,,,,,2023-08-21T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-22,SKIPPED,random_skip,2023-08-24,0,0,0,,,,,2023-08-22T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-23,SKIPPED,random_skip,2023-08-24,0,0,0,,,,,2023-08-23T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-24,SKIPPED,random_skip,2023-08-24,0,0,0,,,,,2023-08-24T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-25,TRADED,,2023-08-31,50,6,300,2023-08-25T14:15:00+05:30,19277.8,19310.30,BELOW_SMA,2023-08-25T14:30:00+05:30,19300,CE,NIFTY_19300_CE_31_AUG_23.csv,79.0,2023-08-25T15:10:00+05:30,75.35,stop_loss_ma_touch,19299.43,495.00,50.00,445.00,
2023-08-28,SKIPPED,random_skip,2023-08-31,0,0,0,,,,,2023-08-28T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-29,TRADED,,2023-08-31,50,6,300,2023-08-29T12:00:00+05:30,19345.1,19332.66,ABOVE_SMA,2023-08-29T12:15:00+05:30,19350,PE,NIFTY_19350_PE_31_AUG_23.csv,64.5,2023-08-29T12:45:00+05:30,60.9,stop_loss_ma_touch,19334.00,480.00,50.00,430.00,
2023-08-29,TRADED,,2023-08-31,50,6,300,2023-08-29T12:45:00+05:30,19353.1,19334.68,ABOVE_SMA,2023-08-29T13:00:00+05:30,19350,PE,NIFTY_19350_PE_31_AUG_23.csv,55.35,2023-08-29T14:15:00+05:30,66.35,stop_loss_ma_touch,19336.38,-3900.00,50.00,-3950.00,
2023-08-29,TRADED,,2023-08-31,50,6,300,2023-08-29T14:15:00+05:30,19319.8,19335.93,BELOW_SMA,2023-08-29T14:30:00+05:30,19300,CE,NIFTY_19300_CE_31_AUG_23.csv,67.35,2023-08-29T15:05:00+05:30,75.0,stop_loss_ma_touch,19335.37,-2895.00,50.00,-2945.00,
2023-08-30,SKIPPED,random_skip,2023-08-31,0,0,0,,,,,2023-08-30T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-08-31,SKIPPED,random_skip,2023-08-31,0,0,0,,,,,2023-08-31T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-01,TRADED,,2023-09-07,50,6,300,2023-09-01T14:30:00+05:30,19439.8,19348.18,ABOVE_SMA,2023-09-01T14:45:00+05:30,19450,PE,NIFTY_19450_PE_07_SEP_23.csv,91.65,2023-09-01T15:15:00+05:30,89.2,day_close,19361.12,135.00,50.00,85.00,
2023-09-04,SKIPPED,random_skip,2023-09-07,0,0,0,,,,,2023-09-04T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-05,SKIPPED,random_skip,2023-09-07,0,0,0,,,,,2023-09-05T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-06,SKIPPED,random_skip,2023-09-07,0,0,0,,,,,2023-09-06T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-07,SKIPPED,random_skip,2023-09-07,0,0,0,,,,,2023-09-07T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-08,SKIPPED,random_skip,2023-09-14,0,0,0,,,,,2023-09-08T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-11,SKIPPED,random_skip,2023-09-14,0,0,0,,,,,2023-09-11T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2023-09-12,SKIPPED,random_skip,2023-09-14,0,0,0,,,,,2023-09-12T09:30:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
