entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2021-03-01,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-01T09:20:00+05:30,49686.4,49700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49700_CE_31_OCT_24.csv, SENSEX_49700_PE_31_OCT_24.csv"
2021-03-02,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-02T09:20:00+05:30,50144.0,50100,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50100_CE_31_OCT_24.csv, SENSEX_50100_PE_31_OCT_24.csv"
2021-03-03,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-03T09:20:00+05:30,50684.3,50700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50700_CE_31_OCT_24.csv, SENSEX_50700_PE_31_OCT_24.csv"
2021-03-04,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-04T09:20:00+05:30,50835.4,50800,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50800_CE_31_OCT_24.csv, SENSEX_50800_PE_31_OCT_24.csv"
2021-03-05,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-05T09:20:00+05:30,50519.2,50500,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50500_CE_31_OCT_24.csv, SENSEX_50500_PE_31_OCT_24.csv"
2021-03-08,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-08T09:20:00+05:30,50735.8,50700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50700_CE_31_OCT_24.csv, SENSEX_50700_PE_31_OCT_24.csv"
2021-03-09,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-09T09:20:00+05:30,50886.0,50900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50900_CE_31_OCT_24.csv, SENSEX_50900_PE_31_OCT_24.csv"
2021-03-10,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-10T09:20:00+05:30,51350.0,51400,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51400_CE_31_OCT_24.csv, SENSEX_51400_PE_31_OCT_24.csv"
2021-03-12,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-12T09:20:00+05:30,51770.5,51800,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51800_CE_31_OCT_24.csv, SENSEX_51800_PE_31_OCT_24.csv"
2021-03-15,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-03-15T09:20:00+05:30,50773.5,50800,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50800_CE_31_OCT_24.csv, SENSEX_50800_PE_31_OCT_24.csv"
