date,net_pnl,equity,peak,drawdown,drawdown_pct
2020-08-27,51395.12,2641194.49,2641194.49,0.00,0.00
2020-09-03,-62443.65,2578750.84,2641194.49,62443.65,2.36
2020-09-10,31893.11,2610643.95,2641194.49,30550.54,1.16
2020-09-17,52352.32,2662996.27,2662996.27,0.00,0.00
2020-09-24,-79695.36,2583300.91,2662996.27,79695.36,2.99
2020-10-01,41193.24,2624494.14,2662996.27,38502.12,1.45
2020-10-15,21954.16,2646448.31,2662996.27,16547.96,0.62
2020-10-22,18127.89,2664576.20,2664576.20,0.00,0.00
2020-10-29,58043.13,2722619.33,2722619.33,0.00,0.00
2020-11-05,45901.03,2768520.36,2768520.36,0.00,0.00
2020-11-12,-2639.25,2765881.11,2768520.36,2639.25,0.10
2020-11-19,5767.78,2771648.89,2771648.89,0.00,0.00
2020-11-26,9463.26,2781112.15,2781112.15,0.00,0.00
2020-12-03,88692.96,2869805.12,2869805.12,0.00,0.00
2020-12-10,62082.65,2931887.76,2931887.76,0.00,0.00
2020-12-17,32100.56,2963988.33,2963988.33,0.00,0.00
2020-12-24,-59576.95,2904411.38,2963988.33,59576.95,2.01
2020-12-31,52147.06,2956558.44,2963988.33,7429.89,0.25
2021-01-07,45247.00,3001805.44,3001805.44,0.00,0.00
2021-01-14,35381.41,3037186.85,3037186.85,0.00,0.00
2021-01-21,60907.90,3098094.75,3098094.75,0.00,0.00
2021-01-28,-50317.70,3047777.05,3098094.75,50317.70,1.62
2021-02-04,-51543.19,2996233.86,3098094.75,101860.89,3.29
2021-02-11,30140.26,3026374.13,3098094.75,71720.63,2.31
2021-02-18,46610.88,3072985.01,3098094.75,25109.75,0.81
2021-02-25,-72165.91,3000819.10,3098094.75,97275.65,3.14
2021-03-04,38632.32,3039451.42,3098094.75,58643.33,1.89
2021-03-10,97445.15,3136896.57,3136896.57,0.00,0.00
2021-03-18,17535.12,3154431.69,3154431.69,0.00,0.00
2021-03-25,16944.73,3171376.42,3171376.42,0.00,0.00
2021-04-01,23786.65,3195163.07,3195163.07,0.00,0.00
2021-04-08,44213.78,3239376.84,3239376.84,0.00,0.00
2021-04-15,6429.60,3245806.44,3245806.44,0.00,0.00
2021-04-22,18934.51,3264740.95,3264740.95,0.00,0.00
2021-04-29,51619.27,3316360.22,3316360.22,0.00,0.00
