entry_date,exit_date,expiry,atm,entry_spot,prev_vix,lot_size,lots,qty,traded,skip_reason,remarks,legs_traded,adds,unwinds,rolls,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls_blocked,entry_offset,entry_balance
2022-02-25,2022-03-03,2022-03-03,16600,16587.90,31.98,50,2,100,YES,,,13,11,10,0,26,5,312.05,31205.00,732.09,30472.91,0,101,3,0,0.90
2022-03-04,2022-03-10,2022-03-10,16250,16259.10,28.16,50,2,100,YES,,,15,12,9,1,30,5,38.80,3880.00,954.66,2925.34,177,0,461,0,0.94
2022-03-11,2022-03-17,2022-03-17,16550,16574.30,25.58,50,2,100,YES,,,12,9,6,1,24,5,93.60,9360.00,744.97,8615.03,243,0,365,0,0.98
2022-03-21,2022-03-24,2022-03-24,17300,17304.00,22.61,50,2,100,YES,,,16,14,14,0,32,5,200.65,20065.00,863.21,19201.79,0,126,0,0,0.92
2022-03-25,2022-03-31,2022-03-31,17250,17202.10,23.93,50,2,100,YES,,,10,8,5,0,20,5,209.05,20905.00,557.31,20347.69,1,0,740,50,0.97
2022-04-01,2022-04-07,2022-04-07,17500,17482.10,20.56,50,2,100,YES,,,12,6,6,4,24,5,39.85,3985.00,725.30,3259.70,4,106,378,0,0.92
2022-04-08,2022-04-13,2022-04-13,17700,17672.40,19.00,50,2,100,YES,,,16,13,11,1,32,5,69.80,6980.00,868.14,6111.86,0,234,0,50,1.00
2022-04-18,2022-04-21,2022-04-21,17200,17205.10,17.79,50,2,100,YES,,,18,14,13,2,36,5,-138.10,-13810.00,1012.58,-14822.58,22,365,0,0,0.93
2022-04-22,2022-04-28,2022-04-28,17200,17215.80,17.85,50,2,100,YES,,,15,13,11,0,30,5,12.45,1245.00,830.12,414.88,0,191,0,0,0.91
2022-04-29,2022-05-05,2022-05-05,17350,17341.80,19.38,50,2,100,YES,,,14,8,5,4,28,5,137.65,13765.00,834.17,12930.83,172,0,427,0,0.87
2022-05-06,2022-05-12,2022-05-12,16400,16403.10,20.29,50,2,100,YES,,,20,14,11,4,40,5,111.90,11190.00,1140.22,10049.78,0,30,345,0,0.97
2022-05-13,2022-05-19,2022-05-19,15950,15966.70,24.27,50,2,100,YES,,,20,15,14,3,40,5,-188.20,-18820.00,1161.56,-19981.56,48,365,22,0,0.98
2022-05-20,2022-05-26,2022-05-26,16100,16123.00,24.56,50,2,100,YES,,,20,18,17,0,40,5,132.45,13245.00,1079.99,12165.01,0,121,149,0,0.84
2022-05-27,2022-06-02,2022-06-02,16300,16315.40,22.72,50,2,100,YES,,,15,11,9,2,30,5,158.55,15855.00,874.61,14980.39,0,155,0,0,0.96
2022-06-03,2022-06-09,2022-06-09,16800,16780.30,20.32,50,2,100,YES,,,14,8,5,4,28,5,288.20,28820.00,814.26,28005.74,6,18,492,0,0.87
2022-06-10,2022-06-16,2022-06-16,16300,16309.80,19.14,50,2,100,YES,,,10,5,3,3,20,5,-92.05,-9205.00,636.74,-9841.74,44,343,55,0,0.97
2022-06-17,2022-06-23,2022-06-23,15300,15259.70,22.87,50,2,100,YES,,,14,9,9,3,28,5,57.95,5795.00,814.11,4980.89,0,127,36,50,0.95
2022-06-24,2022-06-30,2022-06-30,15700,15713.80,20.88,50,2,100,YES,,,17,15,14,0,34,5,154.55,15455.00,912.96,14542.04,4,100,0,0,0.81
2022-07-01,2022-07-07,2022-07-07,15700,15712.50,21.84,50,2,100,YES,,,15,10,7,3,30,5,149.70,14970.00,850.33,14119.67,0,0,365,0,0.81
2022-07-08,2022-07-14,2022-07-14,16200,16210.30,19.20,50,2,100,YES,,,14,10,7,2,28,5,233.15,23315.00,756.99,22558.01,0,125,156,0,0.99
2022-07-15,2022-07-21,2022-07-21,16000,16006.90,18.34,50,2,100,YES,,,9,5,2,2,18,5,11.65,1165.00,523.03,641.97,5,105,740,0,0.85
2022-07-22,2022-07-28,2022-07-28,16700,16695.70,16.86,50,2,100,YES,,,12,7,6,3,24,5,-62.85,-6285.00,667.44,-6952.44,13,377,0,0,0.80
2022-07-29,2022-08-04,2022-08-04,17100,17111.50,17.01,50,2,100,YES,,,19,15,15,2,38,5,-33.25,-3325.00,1050.30,-4375.30,0,121,134,0,0.88
2022-08-05,2022-08-11,2022-08-11,17450,17439.30,19.26,50,2,100,YES,,,7,5,2,0,14,5,205.65,20565.00,387.89,20177.11,0,15,350,0,0.85
2022-08-12,2022-08-18,2022-08-18,17650,17620.40,18.36,50,2,100,YES,,,7,5,2,0,14,5,77.65,7765.00,387.40,7377.60,3,61,740,50,0.95
2022-08-19,2022-08-25,2022-08-25,17950,17973.70,17.35,50,2,100,YES,,,18,11,11,5,36,5,-102.45,-10245.00,1052.59,-11297.59,98,67,41,0,0.90
2022-08-26,2022-09-01,2022-09-01,17650,17672.80,19.57,50,2,100,YES,,,10,8,8,0,20,5,-141.40,-14140.00,599.08,-14739.08,20,255,74,0,0.85
2022-09-02,2022-09-08,2022-09-08,17600,17601.90,19.87,50,2,100,YES,,,14,12,11,0,28,5,65.60,6560.00,760.68,5799.32,0,125,63,0,0.89
2022-09-09,2022-09-15,2022-09-15,17900,17891.20,18.31,50,2,100,YES,,,13,11,11,0,26,5,-43.80,-4380.00,707.84,-5087.84,0,205,0,0,1.00
2022-09-16,2022-09-22,2022-09-22,17750,17767.60,18.39,50,2,100,YES,,,14,10,10,2,28,5,77.90,7790.00,803.53,6986.47,11,221,0,0,0.84
2022-09-23,2022-09-29,2022-09-29,17550,17562.90,18.82,50,2,100,YES,,,16,12,9,2,32,5,137.85,13785.00,991.56,12793.44,432,12,555,0,0.99
2022-09-30,2022-10-06,2022-10-06,16800,16779.10,21.30,50,2,100,YES,,,11,7,4,2,22,5,192.55,19255.00,662.60,18592.40,9,2,630,0,0.95
2022-10-07,2022-10-13,2022-10-13,17300,17290.20,19.32,50,2,100,YES,,,16,12,10,2,32,5,150.10,15010.00,897.48,14112.52,0,340,0,0,0.95
2022-10-14,2022-10-20,2022-10-20,17300,17281.00,20.29,50,2,100,YES,,,13,10,9,1,26,5,120.60,12060.00,720.43,11339.57,0,144,121,0,0.85
2022-10-21,2022-10-27,2022-10-27,17600,17642.90,17.23,50,2,100,YES,,,10,8,8,0,20,4,40.00,4000.00,535.92,3464.08,750,123,0,-50,0.88
2022-10-28,2022-11-03,2022-11-03,17800,17802.10,16.60,50,2,100,YES,,,5,3,0,0,10,5,130.00,13000.00,282.91,12717.09,0,9,1115,0,0.98
2022-11-04,2022-11-10,2022-11-10,18100,18056.80,15.94,50,2,100,YES,,,13,9,7,2,26,5,98.80,9880.00,696.50,9183.50,0,374,23,50,1.00
2022-11-11,2022-11-17,2022-11-17,18300,18307.70,15.57,50,2,100,YES,,,13,11,11,0,26,5,150.95,15095.00,674.87,14420.13,0,473,95,0,0.86
2022-11-18,2022-11-24,2022-11-24,18400,18346.80,14.88,50,2,100,YES,,,11,8,7,1,22,5,-32.00,-3200.00,605.56,-3805.56,0,433,0,50,0.82
2022-11-25,2022-12-01,2022-12-01,18500,18458.80,13.48,50,2,100,YES,,,9,5,2,2,18,5,113.75,11375.00,486.77,10888.23,0,196,385,50,0.90
2022-12-02,2022-12-08,2022-12-08,18800,18737.90,13.36,50,2,100,YES,,,12,10,8,0,24,5,126.60,12660.00,644.14,12015.86,0,556,0,50,0.95
2022-12-09,2022-12-15,2022-12-15,18700,18641.10,13.40,50,2,100,YES,,,12,8,8,2,24,5,-26.95,-2695.00,661.02,-3356.02,0,240,0,50,0.97
2022-12-16,2022-12-22,2022-12-22,18400,18397.20,13.73,50,0,0,NO,balance_check_failed,"Best of 11 strikes near ATM 18400 was 18400 at 79.6%, needs >= 80%",0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2022-12-23,2022-12-29,2022-12-29,18050,17975.60,15.19,50,2,100,YES,,,17,12,11,3,34,5,60.60,6060.00,935.26,5124.74,0,94,185,50,0.87
2022-12-30,2023-01-05,2023-01-05,18250,18237.40,14.81,50,2,100,YES,,,19,16,13,1,38,5,59.80,5980.00,1005.26,4974.74,0,263,210,0,0.99
2023-01-06,2023-01-12,2023-01-12,18000,18003.00,14.98,50,2,100,YES,,,25,23,20,0,50,5,69.50,6950.00,1300.82,5649.18,0,41,293,0,0.93
2023-01-13,2023-01-19,2023-01-19,17850,17797.20,15.28,50,2,100,YES,,,17,12,9,3,34,5,223.80,22380.00,913.90,21466.10,3,0,647,50,0.95
2023-01-20,2023-01-25,2023-01-25,18100,18109.90,13.96,50,2,100,YES,,,12,10,7,0,24,5,7.65,765.00,624.91,140.09,0,60,326,0,0.96
2023-01-27,2023-02-02,2023-02-02,17850,17799.70,14.66,50,2,100,YES,,,29,25,24,2,58,5,-103.10,-10310.00,1651.10,-11961.10,1,105,67,50,1.00
2023-02-03,2023-02-09,2023-02-09,17700,17672.70,15.73,50,2,100,YES,,,19,16,14,1,38,5,132.40,13240.00,1007.22,12232.78,0,440,3,50,0.89
2023-02-10,2023-02-16,2023-02-16,17850,17847.70,13.04,50,2,100,YES,,,14,12,9,0,28,5,98.20,9820.00,727.13,9092.87,0,109,380,0,0.92
2023-02-17,2023-02-23,2023-02-23,18000,17964.10,12.89,50,2,100,YES,,,10,8,5,0,20,5,-123.40,-12340.00,546.10,-12886.10,0,157,733,50,0.83
2023-02-24,2023-03-02,2023-03-02,17600,17585.80,15.08,50,2,100,YES,,,18,13,11,3,36,5,83.75,8375.00,982.48,7392.52,0,164,3,0,0.90
