entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2020-11-14,2020-11-19,2020-11-19,12750,75,YES,,,7,4,4,14,4,117.30,8797.50,420.00,8377.50,746,433,1,96,50,0.97
2020-11-23,2020-11-26,2020-11-26,12950,75,YES,,,11,7,5,22,4,145.00,10875.00,660.00,10215.00,0,1,2,448,0,0.85
2020-11-27,2020-12-03,2020-12-03,13000,75,YES,,,11,7,7,22,4,119.85,8988.75,660.00,8328.75,0,91,2,14,0,0.85
2020-12-07,2020-12-10,2020-12-10,13250,75,YES,,,11,7,5,22,4,102.40,7680.00,660.00,7020.00,19,11,2,467,-50,0.95
2020-12-14,2020-12-17,2020-12-17,13600,75,YES,,,11,8,6,22,4,127.75,9581.25,660.00,8921.25,2,66,1,352,0,0.87
2020-12-21,2020-12-24,2020-12-24,13700,75,YES,,,14,7,7,28,4,-161.30,-12097.50,840.00,-12937.50,368,508,5,24,0,0.85
2020-12-28,2020-12-31,2020-12-31,13850,75,YES,,,11,7,5,22,4,135.30,10147.50,660.00,9487.50,0,53,2,372,0,0.99
2021-01-04,2021-01-07,2021-01-07,14100,75,YES,,,11,8,8,22,4,88.00,6600.00,660.00,5940.00,0,260,1,0,0,0.99
2021-01-11,2021-01-14,2021-01-14,14400,75,YES,,,11,6,5,22,4,73.35,5501.25,660.00,4841.25,0,270,3,2,0,0.97
2021-01-18,2021-01-21,2021-01-21,14400,75,YES,,,11,7,5,22,4,235.10,17632.50,660.00,16972.50,9,27,2,529,0,0.88
2021-01-22,2021-01-28,2021-01-28,14600,75,YES,,,11,5,3,22,4,-121.00,-9075.00,660.00,-9735.00,92,2,4,749,0,0.88
2021-02-01,2021-02-04,2021-02-04,13750,75,YES,,,8,3,1,16,4,-298.00,-22350.00,480.00,-22830.00,1050,0,3,1187,0,0.89
2021-02-08,2021-02-11,2021-02-11,15050,75,YES,,,16,11,10,32,4,107.30,8047.50,960.00,7087.50,0,75,3,0,-50,0.90
2021-02-15,2021-02-18,2021-02-18,15300,75,YES,,,10,8,6,20,4,64.00,4800.00,600.00,4200.00,0,128,0,235,0,0.80
2021-02-22,2021-02-25,2021-02-25,14950,75,YES,,,17,13,13,34,4,-170.65,-12798.75,1020.00,-13818.75,470,365,2,0,0,0.95
2021-03-01,2021-03-04,2021-03-04,14700,75,YES,,,9,5,3,18,4,180.00,13500.00,540.00,12960.00,62,0,2,742,0,0.99
2021-03-05,2021-03-10,2021-03-10,15000,75,YES,,,8,5,3,16,4,312.80,23460.00,480.00,22980.00,0,0,1,365,0,0.86
2021-03-15,2021-03-18,2021-03-18,14950,75,YES,,,15,11,10,30,4,-25.60,-1920.00,900.00,-2820.00,1,293,2,0,0,0.81
