entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2021-04-05,2021-04-07,2021-04-08,14750,75,YES,,,8,6,5,16,4,46.30,3472.50,480.00,2992.50,0,3,0,0,0,0.88
2021-04-09,2021-04-13,2021-04-15,14850,75,YES,,,4,2,0,8,4,62.90,4717.50,240.00,4477.50,8,0,0,49,0,0.90
2021-04-16,2021-04-20,2021-04-22,14600,75,YES,,,6,3,2,12,4,-24.55,-1841.25,360.00,-2201.25,0,2,1,0,0,0.91
2021-04-23,2021-04-28,2021-04-29,14400,75,YES,,,6,2,0,12,4,96.85,7263.75,360.00,6903.75,0,0,2,25,0,0.88
2021-04-30,2021-05-05,2021-05-06,14800,75,YES,,,10,7,7,20,4,51.25,3843.75,600.00,3243.75,0,0,1,0,0,0.89
2021-05-07,2021-05-11,2021-05-12,14850,75,YES,,,6,4,3,12,4,120.55,9041.25,360.00,8681.25,1,2,0,0,0,0.97
2021-05-14,2021-05-19,2021-05-20,14700,75,YES,,,5,2,0,10,4,70.85,5313.75,300.00,5013.75,4,5,1,50,0,0.84
2021-05-21,2021-05-26,2021-05-27,15000,75,YES,,,7,2,0,14,4,166.05,12453.75,420.00,12033.75,0,0,3,37,0,0.82
2021-05-28,2021-06-02,2021-06-03,15450,75,YES,,,8,5,4,16,4,61.10,4582.50,480.00,4102.50,0,1,1,0,0,0.81
2021-06-04,2021-06-09,2021-06-10,15700,75,YES,,,9,6,5,18,4,12.85,963.75,540.00,423.75,0,3,1,1,0,0.88
2021-06-11,2021-06-16,2021-06-17,15800,75,YES,,,4,2,2,8,3,62.95,4721.25,240.00,4481.25,0,4,0,0,0,0.95
2021-06-18,2021-06-23,2021-06-24,15750,75,YES,,,10,6,6,20,4,-47.95,-3596.25,600.00,-4196.25,3,1,2,23,0,0.82
2021-06-25,2021-06-30,2021-07-01,15800,75,YES,,,7,5,3,14,4,111.85,8388.75,420.00,7968.75,0,2,0,0,0,0.76
2021-07-02,2021-07-07,2021-07-08,15700,75,YES,,,8,4,3,16,4,49.30,3697.50,480.00,3217.50,0,8,2,13,0,0.85
2021-07-09,2021-07-14,2021-07-15,15700,75,YES,,,7,4,3,14,4,34.95,2621.25,420.00,2201.25,0,31,1,0,0,0.79
2021-07-16,2021-07-20,2021-07-22,15950,75,YES,,,5,2,0,10,4,-36.85,-2763.75,300.00,-3063.75,3,12,1,31,0,0.88
2021-07-23,2021-07-28,2021-07-29,15850,75,YES,,,6,3,1,12,4,53.35,4001.25,360.00,3641.25,0,2,1,25,0,0.89
2021-07-30,2021-08-04,2021-08-05,15800,75,YES,,,7,2,0,14,4,-104.20,-7815.00,420.00,-8235.00,1,0,3,29,0,0.86
2021-08-06,2021-08-11,2021-08-12,16300,75,YES,,,9,7,7,18,4,73.00,5475.00,540.00,4935.00,0,10,0,0,0,0.97
2021-08-13,2021-08-17,2021-08-18,16400,75,YES,,,6,2,1,12,4,40.85,3063.75,360.00,2703.75,0,7,2,1,0,0.92
2021-08-20,2021-08-25,2021-08-26,16450,75,YES,,,7,3,1,14,4,101.60,7620.00,420.00,7200.00,0,0,2,27,0,0.95
2021-08-27,2021-09-01,2021-09-02,16650,75,YES,,,8,3,1,16,4,-13.15,-986.25,480.00,-1466.25,4,0,3,49,0,0.80
2021-09-03,2021-09-08,2021-09-09,17300,75,YES,,,8,6,6,16,4,65.45,4908.75,480.00,4428.75,0,4,0,0,0,0.98
2021-09-13,2021-09-15,2021-09-16,17350,75,YES,,,6,3,1,12,4,59.80,4485.00,360.00,4125.00,0,2,1,9,0,0.86
2021-09-17,2021-09-22,2021-09-23,17700,75,YES,,,12,8,8,24,4,-11.15,-836.25,720.00,-1556.25,0,0,2,6,0,0.89
2021-09-24,2021-09-29,2021-09-30,17950,75,YES,,,13,7,7,26,4,-47.70,-3577.50,780.00,-4357.50,2,3,4,2,0,0.84
2021-10-01,2021-10-06,2021-10-07,17500,50,YES,,,9,5,5,18,4,125.00,6250.00,540.00,5710.00,0,2,2,27,0,0.85
