entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked
2023-01-06,2023-01-12,2023-01-12,18000,50,YES,,,22,20,18,44,5,23.90,1195.00,1320.00,-125.00,0,338
2023-01-13,2023-01-19,2023-01-19,17800,50,NO,balance_check_failed,"CE=160.25 PE=118.35 within 73.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-01-20,2023-01-25,2023-01-25,18100,50,YES,,,12,10,6,24,6,98.05,4902.50,720.00,4182.50,0,393
2023-01-27,2023-02-02,2023-02-02,17800,50,NO,balance_check_failed,"CE=215.10 PE=166.35 within 77.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-02-03,2023-02-09,2023-02-09,17700,50,YES,,,17,15,14,34,6,124.20,6210.00,1020.00,5190.00,0,465
2023-02-10,2023-02-16,2023-02-16,17850,50,YES,,,11,9,6,22,5,130.30,6515.00,660.00,5855.00,0,495
2023-02-17,2023-02-23,2023-02-23,17950,50,NO,balance_check_failed,"CE=119.20 PE=83.10 within 69.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-02-24,2023-03-02,2023-03-02,17600,50,YES,,,17,15,15,34,5,-50.00,-2500.00,1020.00,-3520.00,0,464
2023-03-03,2023-03-09,2023-03-09,17450,50,YES,,,11,9,9,22,7,-46.10,-2305.00,660.00,-2965.00,0,621
2023-03-10,2023-03-16,2023-03-16,17400,50,YES,,,21,19,17,42,7,-47.30,-2365.00,1260.00,-3625.00,0,496
2023-03-17,2023-03-23,2023-03-23,17100,50,YES,,,12,10,10,24,5,149.45,7472.50,720.00,6752.50,0,267
2023-03-24,2023-03-29,2023-03-29,17100,50,YES,,,14,12,12,28,6,120.05,6002.50,840.00,5162.50,0,114
2023-03-31,2023-04-06,2023-04-06,17250,50,YES,,,13,11,6,26,7,129.25,6462.50,780.00,5682.50,15,584
2023-04-10,2023-04-13,2023-04-13,17650,50,YES,,,11,9,9,22,5,19.50,975.00,660.00,315.00,0,501
2023-04-17,2023-04-20,2023-04-20,17650,50,NO,balance_check_failed,"CE=116.35 PE=73.90 within 63.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-04-21,2023-04-27,2023-04-27,17650,50,YES,,,9,7,5,18,6,31.45,1572.50,540.00,1032.50,0,613
2023-04-28,2023-05-04,2023-05-04,17950,50,YES,,,9,7,7,18,7,-114.55,-5727.50,540.00,-6267.50,0,465
2023-05-05,2023-05-11,2023-05-11,18150,50,NO,balance_check_failed,"CE=101.25 PE=72.75 within 71.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-05-12,2023-05-18,2023-05-18,18250,50,YES,,,11,9,9,22,7,-7.45,-372.50,660.00,-1032.50,0,405
2023-05-19,2023-05-25,2023-05-25,18150,50,NO,balance_check_failed,"CE=110.40 PE=79.60 within 72.1%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-05-26,2023-06-01,2023-06-01,18350,50,YES,,,9,7,7,18,8,34.65,1732.50,540.00,1192.50,5,307
2023-06-02,2023-06-08,2023-06-08,18550,50,NO,balance_check_failed,"CE=116.80 PE=74.35 within 63.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-06-09,2023-06-15,2023-06-15,18650,50,NO,balance_check_failed,"CE=107.85 PE=72.05 within 66.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-06-16,2023-06-22,2023-06-22,18750,50,NO,balance_check_failed,"CE=92.80 PE=72.80 within 78.4%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-06-23,2023-06-28,2023-06-28,18700,50,NO,missing_entry_bar,No exact 09:20 bar on both ATM legs.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-06-30,2023-07-06,2023-07-06,19050,50,NO,balance_check_failed,"CE=108.75 PE=78.00 within 71.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-07-07,2023-07-13,2023-07-13,19450,50,YES,,,16,14,14,32,5,49.95,2497.50,960.00,1537.50,0,122
2023-07-14,2023-07-20,2023-07-20,19500,50,YES,,,9,7,4,18,7,-36.70,-1835.00,540.00,-2375.00,0,629
2023-07-21,2023-07-27,2023-07-27,19800,50,NO,balance_check_failed,"CE=162.95 PE=81.20 within 49.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-07-28,2023-08-03,2023-08-03,19650,50,YES,,,14,12,11,28,7,32.55,1627.50,840.00,787.50,0,386
2023-08-04,2023-08-10,2023-08-10,19500,50,YES,,,17,15,15,34,5,48.60,2430.00,1020.00,1410.00,0,105
2023-08-11,2023-08-17,2023-08-17,19500,50,YES,,,11,9,9,22,6,59.50,2975.00,660.00,2315.00,0,251
2023-08-18,2023-08-24,2023-08-24,19300,50,YES,,,8,6,6,16,6,112.05,5602.50,480.00,5122.50,0,445
2023-08-25,2023-08-31,2023-08-31,19250,50,NO,balance_check_failed,"CE=114.70 PE=85.70 within 74.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-09-01,2023-09-07,2023-09-07,19300,50,NO,balance_check_failed,"CE=113.65 PE=81.10 within 71.4%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-09-08,2023-09-14,2023-09-14,19750,50,NO,balance_check_failed,"CE=98.30 PE=76.10 within 77.4%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2023-09-15,2023-09-21,2023-09-21,20150,50,NO,balance_check_failed,"CE=115.95 PE=83.05 within 71.6%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
