period,days,skipped_days,trades,skipped_rows,long_trades,short_trades,stop_exits,gap_stop_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2024-04,20,0,82,0,44,38,76,6,0,6,11,0,171.43,11142.95,10.08,2024-04-16,467.61,30394.65,2024-04-01,-285.21,-18538.65,2,5,791.68,51459.20
2024-05,22,1,115,1,53,62,108,7,0,4,13,0,-361.95,-23526.75,-21.29,2024-05-30,367.73,23902.45,2024-05-03,-235.02,-15276.30,1,5,825.43,53652.95
2024-06,19,0,85,0,45,40,80,5,0,6,8,0,1453.58,94482.70,103.83,2024-06-06,639.01,41535.65,2024-06-13,-282.84,-18384.60,4,4,915.97,59538.05
2024-07,22,0,120,0,65,55,117,3,0,8,11,0,-655.12,-42582.80,-34.48,2024-07-29,415.07,26979.55,2024-07-24,-332.54,-21615.10,2,3,766.42,49817.30
2024-08,21,0,97,0,43,54,89,8,0,7,11,0,-517.79,-33656.35,-28.77,2024-08-06,486.03,31591.95,2024-08-02,-217.00,-14105.00,2,4,755.56,49111.40
2024-09,21,0,122,0,59,63,114,8,0,6,12,0,-408.67,-26563.55,-22.70,2024-09-13,350.68,22794.20,2024-09-19,-341.57,-22202.05,2,5,764.48,49691.20
2024-10,22,0,79,0,32,47,76,3,0,13,8,0,1012.75,65828.75,48.23,2024-10-07,286.50,18622.50,2024-10-03,-359.70,-23380.50,4,2,359.70,23380.50
2024-11,19,1,69,1,29,40,65,4,0,8,7,0,1492.12,96987.80,99.47,2024-11-25,765.29,49743.85,2024-11-26,-214.49,-13941.85,3,2,298.59,19408.35
2024-12,21,0,103,0,40,63,99,4,0,5,13,0,-72.83,-4733.95,-4.05,2024-12-18,255.61,16614.65,2024-12-26,-157.73,-10252.45,1,6,432.00,28080.00
2025-01,23,0,106,0,54,52,102,4,0,8,11,0,256.52,16673.80,13.50,2025-01-03,290.58,18887.70,2025-01-24,-155.79,-10126.35,2,3,460.07,29904.55
2025-02,20,0,93,0,45,48,89,4,0,8,9,0,388.48,25251.20,22.85,2025-02-05,305.07,19829.55,2025-02-17,-158.60,-10309.00,3,4,398.76,25919.40
2025-03,19,0,87,0,46,41,86,1,0,9,6,0,904.39,58785.35,60.29,2025-03-19,409.14,26594.10,2025-03-04,-323.00,-20995.00,3,1,323.00,20995.00
2025-04,19,0,87,0,53,34,82,5,0,8,7,0,2227.38,144779.70,148.49,2025-04-07,1233.06,80148.90,2025-04-23,-406.85,-26445.25,4,2,624.56,40596.40
2025-05,21,0,126,0,51,75,121,5,0,5,13,0,-68.10,-4426.50,-3.78,2025-05-13,471.00,30615.00,2025-05-02,-293.52,-19078.80,2,5,536.37,34864.05
2025-06,21,0,78,0,37,41,74,4,0,8,10,0,716.06,46543.90,39.78,2025-06-30,394.79,25661.35,2025-06-03,-175.89,-11432.85,2,4,210.69,13694.85
2025-07,23,0,106,0,57,49,100,6,0,11,10,0,368.56,23956.40,17.55,2025-07-28,273.26,17761.90,2025-07-08,-127.33,-8276.45,5,3,340.91,22159.15
2025-08,19,0,82,0,43,39,78,4,0,6,10,0,-260.55,-16935.75,-16.28,2025-08-29,204.14,13269.10,2025-08-18,-366.29,-23808.85,2,5,652.83,42433.95
2025-09,22,0,111,0,53,58,107,4,0,9,11,0,180.25,11716.25,9.01,2025-09-29,185.28,12043.20,2025-09-24,-166.13,-10798.45,3,3,272.94,17741.10
2025-10,21,1,66,1,39,27,62,4,0,9,8,0,824.70,53605.50,48.51,2025-10-17,396.39,25765.35,2025-10-28,-120.62,-7840.30,2,2,134.50,8742.50
2025-11,19,0,74,0,34,40,68,6,0,11,6,0,680.70,44245.50,40.04,2025-11-12,302.32,19650.80,2025-11-24,-116.27,-7557.55,3,1,116.27,7557.55
2025-12,22,0,79,0,36,43,71,8,0,8,9,0,-152.52,-9913.80,-8.97,2025-12-23,153.35,9967.75,2025-12-01,-171.39,-11140.35,2,4,404.71,26306.15
2026-01,20,0,96,0,49,47,94,2,0,8,11,0,36.54,2375.10,1.92,2026-01-12,448.49,29151.85,2026-01-30,-209.04,-13587.60,2,3,618.43,40197.95
2026-02,21,0,102,0,57,45,95,7,0,10,8,0,665.53,43259.45,36.97,2026-02-03,760.53,49434.45,2026-02-23,-353.75,-22993.75,2,2,498.48,32401.20
2026-03,19,0,46,0,21,25,44,2,0,10,3,0,2578.00,167570.00,198.31,2026-03-09,667.60,43394.00,2026-03-04,-766.77,-49840.05,7,1,918.65,59712.25
2026-04,20,0,45,0,26,19,37,8,0,9,6,0,1910.73,124197.45,127.38,2026-04-09,950.78,61800.70,2026-04-13,-634.06,-41213.90,4,3,663.68,43139.20
2026-05,2,0,8,0,5,3,7,0,1,2,0,0,61.92,4024.80,30.96,2026-05-05,32.82,2133.30,2026-05-04,29.10,1891.50,2,0,0.00,0.00
