entry_date,status,skip_reason,expiry_date,exit_date,spot_entry_timestamp,spot_entry_open,spot_exit_timestamp,spot_exit_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,entry_credit_points,entry_debit_points,net_entry_credit_points,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-03-17,TRADED,,2025-03-27,2025-03-24,2025-03-17T09:30:00+05:30,22539.1,2025-03-24T09:25:00+05:30,23518.1,22550,23100,2025-03-17T09:30:00+05:30,31.1,2025-03-24T09:25:00+05:30,438.0,21950,2025-03-17T09:30:00+05:30,32.0,2025-03-24T09:25:00+05:30,1.8,23350,2025-03-17T09:30:00+05:30,10.45,2025-03-24T09:25:00+05:30,231.0,21500,2025-03-17T09:30:00+05:30,10.3,2025-03-24T09:25:00+05:30,1.55,63.10,20.75,42.35,-44954.00,200.00,-45154.00,0,
2025-03-24,SKIPPED,no_planned_exit_trading_day,,2025-03-31,2025-03-24T09:30:00+05:30,23498.9,2025-03-31T09:25:00+05:30,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,Spot file is missing exact planned exit timestamp 2025-03-31T09:25:00+05:30.
2025-04-07,SKIPPED,no_planned_exit_trading_day,,2025-04-14,2025-04-07T09:30:00+05:30,22042.35,2025-04-14T09:25:00+05:30,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,Spot file is missing exact planned exit timestamp 2025-04-14T09:25:00+05:30.
2025-04-21,TRADED,,2025-04-30,2025-04-28,2025-04-21T09:30:00+05:30,23958.7,2025-04-28T09:25:00+05:30,24089.5,23950,24850,2025-04-21T09:30:00+05:30,30.9,2025-04-28T09:25:00+05:30,6.05,22950,2025-04-21T09:30:00+05:30,31.15,2025-04-28T09:25:00+05:30,11.05,25450,2025-04-21T09:30:00+05:30,10.75,2025-04-28T09:25:00+05:30,1.45,21950,2025-04-21T09:30:00+05:30,10.25,2025-04-28T09:25:00+05:30,3.3,62.05,21.00,41.05,5382.00,200.00,5182.00,0,
2025-04-28,TRADED,,2025-05-08,2025-05-05,2025-04-28T09:30:00+05:30,24117.05,2025-05-05T09:25:00+05:30,24446.5,24100,25000,2025-04-28T09:30:00+05:30,30.8,2025-05-05T09:25:00+05:30,11.5,22700,2025-04-28T09:30:00+05:30,29.75,2025-05-05T09:25:00+05:30,5.6,25450,2025-04-28T09:30:00+05:30,10.3,2025-05-05T09:25:00+05:30,2.54,21650,2025-04-28T09:30:00+05:30,9.9,2025-05-05T09:25:00+05:30,2.15,60.55,20.20,40.35,5184.40,200.00,4984.40,0,
2025-05-05,TRADED,,2025-05-15,2025-05-12,2025-05-05T09:30:00+05:30,24442.25,2025-05-12T09:25:00+05:30,24578.65,24450,25250,2025-05-05T09:30:00+05:30,28.8,2025-05-12T09:25:00+05:30,7.9,23000,2025-05-05T09:30:00+05:30,31.5,2025-05-12T09:25:00+05:30,7.25,25600,2025-05-05T09:30:00+05:30,9.94,2025-05-12T09:25:00+05:30,2.6,22150,2025-05-05T09:30:00+05:30,10.65,2025-05-12T09:25:00+05:30,3.8,60.30,20.59,39.71,5969.60,200.00,5769.60,0,
2025-05-12,SKIPPED,no_valid_wing_candidate,2025-05-22,2025-05-19,2025-05-12T09:30:00+05:30,24596.1,2025-05-19T09:25:00+05:30,25043.7,24600,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,No OTM PE buy wing contract satisfied the premium band 7.31-10.24 at 2025-05-12T09:30:00+05:30 while also having exact exit timestamp 2025-05-19T09:25:00+05:30.
2025-05-19,TRADED,,2025-05-29,2025-05-26,2025-05-19T09:30:00+05:30,25014.15,2025-05-26T09:25:00+05:30,25015.8,25000,25950,2025-05-19T09:30:00+05:30,28.45,2025-05-26T09:25:00+05:30,7.85,23850,2025-05-19T09:30:00+05:30,29.25,2025-05-26T09:25:00+05:30,8.3,26400,2025-05-19T09:30:00+05:30,9.1,2025-05-26T09:25:00+05:30,2.15,23050,2025-05-19T09:30:00+05:30,10.1,2025-05-26T09:25:00+05:30,2.1,57.70,19.20,38.50,4836.00,200.00,4636.00,0,
2025-05-26,TRADED,,2025-06-05,2025-06-02,2025-05-26T09:30:00+05:30,25040.05,2025-06-02T09:25:00+05:30,24550.15,25050,26050,2025-05-26T09:30:00+05:30,29.65,2025-06-02T09:25:00+05:30,2.55,23800,2025-05-26T09:30:00+05:30,29.8,2025-06-02T09:25:00+05:30,17.3,26450,2025-05-26T09:30:00+05:30,10.15,2025-06-02T09:25:00+05:30,1.85,23050,2025-05-26T09:30:00+05:30,10.25,2025-06-02T09:25:00+05:30,2.4,59.45,20.40,39.05,4017.00,200.00,3817.00,0,
2025-06-02,TRADED,,2025-06-12,2025-06-09,2025-06-02T09:30:00+05:30,24564.8,2025-06-09T09:25:00+05:30,25096.05,24550,25650,2025-06-02T09:30:00+05:30,28.65,2025-06-09T09:25:00+05:30,15.1,23500,2025-06-02T09:30:00+05:30,29.6,2025-06-09T09:25:00+05:30,1.8,26050,2025-06-02T09:30:00+05:30,9.65,2025-06-09T09:25:00+05:30,2.95,23050,2025-06-02T09:30:00+05:30,9.85,2025-06-09T09:25:00+05:30,1.25,58.25,19.50,38.75,4693.00,200.00,4493.00,0,
2025-06-09,TRADED,,2025-06-19,2025-06-16,2025-06-09T09:30:00+05:30,25093.9,2025-06-16T09:25:00+05:30,24800.7,25100,25900,2025-06-09T09:30:00+05:30,29.4,2025-06-16T09:25:00+05:30,1.95,24200,2025-06-09T09:30:00+05:30,30.1,2025-06-16T09:25:00+05:30,23.35,26200,2025-06-09T09:30:00+05:30,9.8,2025-06-16T09:25:00+05:30,1.4,23650,2025-06-09T09:30:00+05:30,9.65,2025-06-16T09:25:00+05:30,7.25,59.50,19.45,40.05,4004.00,200.00,3804.00,0,
2025-06-16,TRADED,,2025-06-26,2025-06-23,2025-06-16T09:30:00+05:30,24786.5,2025-06-23T09:25:00+05:30,24925.85,24800,25550,2025-06-16T09:30:00+05:30,28.6,2025-06-23T09:25:00+05:30,7.25,23800,2025-06-16T09:30:00+05:30,30.45,2025-06-23T09:25:00+05:30,7.85,25900,2025-06-16T09:30:00+05:30,9.75,2025-06-23T09:25:00+05:30,2.3,22850,2025-06-16T09:30:00+05:30,10.05,2025-06-23T09:25:00+05:30,2.2,59.05,19.80,39.25,5369.00,200.00,5169.00,0,
2025-06-23,TRADED,,2025-07-03,2025-06-30,2025-06-23T09:30:00+05:30,24908.9,2025-06-30T09:25:00+05:30,25635.7,24900,25600,2025-06-23T09:30:00+05:30,32.55,2025-06-30T09:25:00+05:30,168.65,23800,2025-06-23T09:30:00+05:30,29.35,2025-06-30T09:25:00+05:30,1.5,25900,2025-06-23T09:30:00+05:30,11.35,2025-06-30T09:25:00+05:30,45.2,23000,2025-06-23T09:30:00+05:30,9.85,2025-06-30T09:25:00+05:30,0.9,61.90,21.20,40.70,-23751.00,200.00,-23951.00,0,
2025-06-30,TRADED,,2025-07-10,2025-07-07,2025-06-30T09:30:00+05:30,25631.85,2025-07-07T09:25:00+05:30,25450.7,25650,26300,2025-06-30T09:30:00+05:30,30.65,2025-07-07T09:25:00+05:30,2.2,24850,2025-06-30T09:30:00+05:30,28.6,2025-07-07T09:25:00+05:30,8.75,26600,2025-06-30T09:30:00+05:30,9.85,2025-07-07T09:25:00+05:30,1.1,24300,2025-06-30T09:30:00+05:30,9.35,2025-07-07T09:25:00+05:30,2.65,59.25,19.20,40.05,6461.00,200.00,6261.00,0,
