entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-11-18,TRADED,,2025-11-18,7,4,3,6,1,0,14,3978.00,350.00,3628.00,
2025-11-19,TRADED,,2025-11-25,4,2,2,3,1,0,8,1495.00,200.00,1295.00,
2025-11-20,TRADED,,2025-11-25,1,0,1,0,1,0,2,11492.00,50.00,11442.00,
2025-11-21,TRADED,,2025-11-25,9,6,3,8,1,0,18,-10985.00,450.00,-11435.00,
2025-11-24,TRADED,,2025-11-25,7,3,4,6,1,0,14,689.00,350.00,339.00,
2025-11-25,TRADED,,2025-11-25,5,3,2,4,1,0,10,3757.00,250.00,3507.00,
2025-11-26,TRADED,,2025-12-02,1,0,1,0,1,0,2,14261.00,50.00,14211.00,
2025-11-27,TRADED,,2025-12-02,4,2,2,3,1,0,8,-16913.00,200.00,-17113.00,
2025-11-28,TRADED,,2025-12-02,10,5,5,9,1,0,20,-9048.00,500.00,-9548.00,
2025-12-01,TRADED,,2025-12-02,5,2,3,4,1,0,10,-897.00,250.00,-1147.00,
2025-12-02,TRADED,,2025-12-02,1,1,0,0,1,0,2,11440.00,50.00,11390.00,
2025-12-03,TRADED,,2025-12-09,3,2,1,2,1,0,6,6708.00,150.00,6558.00,
2025-12-04,TRADED,,2025-12-09,9,6,3,8,1,0,18,-7761.00,450.00,-8211.00,
2025-12-05,TRADED,,2025-12-09,5,1,4,4,1,0,10,-65.00,250.00,-315.00,
2025-12-08,TRADED,,2025-12-09,2,1,1,1,1,0,4,15223.00,100.00,15123.00,
2025-12-09,TRADED,,2025-12-09,8,5,3,8,0,0,16,-21710.00,400.00,-22110.00,
2025-12-10,TRADED,,2025-12-16,4,2,2,3,1,0,8,4823.00,200.00,4623.00,
2025-12-11,TRADED,,2025-12-16,5,1,4,4,1,0,10,2795.00,250.00,2545.00,
2025-12-12,TRADED,,2025-12-16,1,0,1,0,1,0,2,6162.00,50.00,6112.00,
2025-12-15,TRADED,,2025-12-16,3,1,2,2,1,0,6,-9919.00,150.00,-10069.00,
2025-12-16,TRADED,,2025-12-16,1,1,0,0,1,0,2,15483.00,50.00,15433.00,
2025-12-17,TRADED,,2025-12-23,5,4,1,5,0,0,10,1911.00,250.00,1661.00,
2025-12-18,TRADED,,2025-12-23,4,3,1,3,1,0,8,-3276.00,200.00,-3476.00,
2025-12-19,TRADED,,2025-12-23,1,0,1,0,1,0,2,4264.00,50.00,4214.00,
2025-12-22,TRADED,,2025-12-23,1,0,1,0,1,0,2,5577.00,50.00,5527.00,
2025-12-23,TRADED,,2025-12-23,5,2,3,5,0,0,10,1911.00,250.00,1661.00,
2025-12-24,TRADED,,2025-12-30,6,4,2,5,1,0,12,3250.00,300.00,2950.00,
2025-12-26,TRADED,,2025-12-30,1,1,0,0,1,0,2,8593.00,50.00,8543.00,
2025-12-29,TRADED,,2025-12-30,3,2,1,2,1,0,6,1851.20,150.00,1701.20,
2025-12-30,TRADED,,2025-12-30,6,3,3,6,0,0,12,-14066.00,300.00,-14366.00,
2025-12-31,SKIPPED,no_same_week_expiry,,0,0,0,0,0,1,0,0.00,0.00,0.00,No expiry folder exists on or after this trade date.
