period,days,skipped_days,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2023-07,21,0,13,0,10,3,2,10,1,0,0,3,8,0,158.20,10283.00,14.38,2023-07-18,127.60,8294.00,2023-07-28,-32.60,-2119.00,2,5,40.00,2600.00
2023-08,22,1,15,1,12,3,4,10,0,0,1,5,7,0,70.00,4550.00,5.83,2023-08-16,65.10,4231.50,2023-08-09,-57.40,-3731.00,2,5,61.10,3971.50
2023-09,20,0,15,0,9,6,3,10,2,0,0,4,9,0,209.80,13637.00,16.14,2023-09-20,146.10,9496.50,2023-09-27,-42.00,-2730.00,2,5,119.00,7735.00
2023-10,20,0,10,0,8,2,2,8,0,0,0,2,8,0,-221.10,-14371.50,-22.11,2023-10-10,23.70,1540.50,2023-10-13,-147.90,-9613.50,1,3,221.10,14371.50
2023-11,21,0,11,0,10,1,2,9,0,0,0,2,8,0,-11.70,-760.50,-1.17,2023-11-01,55.20,3588.00,2023-11-23,-27.50,-1787.50,1,7,77.90,5063.50
2023-12,20,0,9,0,9,0,0,8,0,1,0,0,8,0,-200.70,-13045.50,-25.09,2023-12-19,-1.50,-97.50,2023-12-21,-62.70,-4075.50,0,8,200.70,13045.50
2024-01,22,0,18,0,14,4,5,13,0,0,0,4,12,0,-191.80,-12467.00,-11.99,2024-01-29,36.60,2379.00,2024-01-24,-69.70,-4530.50,1,4,197.60,12844.00
2024-02,21,0,14,0,14,0,0,12,0,1,1,1,10,0,-586.90,-38148.50,-53.35,2024-02-13,1.00,65.00,2024-02-14,-170.50,-11082.50,1,7,586.90,38148.50
2024-03,19,0,11,0,11,0,1,9,0,1,0,1,8,0,-170.05,-11053.25,-18.89,2024-03-18,18.30,1189.50,2024-03-27,-56.55,-3675.75,1,5,170.05,11053.25
2024-04,20,1,17,1,15,2,1,13,2,1,0,3,9,0,137.70,8950.50,11.47,2024-04-15,229.45,14914.25,2024-04-05,-48.30,-3139.50,2,4,91.90,5973.50
2024-05,22,0,8,0,5,3,3,4,0,1,0,2,5,0,-87.25,-5671.25,-12.46,2024-05-14,53.85,3500.25,2024-05-21,-68.85,-4475.25,1,2,132.05,8583.25
2024-06,19,1,11,1,10,1,1,7,1,0,2,2,6,0,-451.30,-29334.50,-56.41,2024-06-21,83.40,5421.00,2024-06-04,-359.55,-23370.75,2,5,572.10,37186.50
2024-07,22,1,13,1,10,3,3,9,0,0,1,3,7,0,189.00,12285.00,18.90,2024-07-23,129.65,8427.25,2024-07-11,-36.60,-2379.00,3,6,111.20,7228.00
2024-08,21,0,14,0,8,6,5,6,2,1,0,6,6,0,302.10,19636.50,25.18,2024-08-26,168.00,10920.00,2024-08-08,-45.75,-2973.75,4,2,69.70,4530.50
2024-09,21,1,10,1,10,0,1,8,0,0,1,2,5,0,20.85,1355.25,2.98,2024-09-30,117.30,7624.50,2024-09-10,-87.30,-5674.50,1,3,102.45,6659.25
2024-10,22,0,16,0,10,6,6,8,1,0,1,8,6,0,775.15,50384.75,55.37,2024-10-03,347.05,22558.25,2024-10-22,-35.75,-2323.75,7,6,119.85,7790.25
2024-11,19,0,14,0,10,4,2,9,2,0,1,4,7,0,-17.70,-1150.50,-1.61,2024-11-06,108.00,7020.00,2024-11-19,-139.05,-9038.25,2,2,147.75,9603.75
2024-12,21,0,14,0,12,2,3,10,0,1,0,2,10,0,-226.45,-14719.25,-18.87,2024-12-09,36.60,2379.00,2024-12-27,-72.50,-4712.50,1,5,226.45,14719.25
2025-01,23,0,15,0,11,4,6,8,0,1,0,6,6,0,464.70,30205.50,38.73,2025-01-27,262.50,17062.50,2025-01-20,-90.20,-5863.00,3,5,176.65,11482.25
2025-02,20,0,12,0,9,3,2,8,1,0,1,3,8,0,90.15,5859.75,8.20,2025-02-24,235.10,15281.50,2025-02-27,-47.50,-3087.50,2,5,131.50,8547.50
2025-03,19,0,10,0,8,2,1,8,1,0,0,2,7,0,7.80,507.00,0.87,2025-03-18,194.55,12645.75,2025-03-25,-84.40,-5486.00,1,4,99.85,6490.25
2025-04,19,0,12,0,8,4,4,5,1,1,1,4,5,0,385.60,25064.00,42.84,2025-04-15,561.70,36510.50,2025-04-03,-170.45,-11079.25,2,3,306.60,19929.00
2025-05,21,0,17,0,14,3,4,12,0,0,1,4,9,0,-360.65,-23442.25,-27.74,2025-05-20,224.85,14615.25,2025-05-02,-181.25,-11781.25,2,3,434.45,28239.25
2025-06,21,0,16,0,12,4,4,8,1,2,1,5,6,0,7.95,516.75,0.72,2025-06-06,261.30,16984.50,2025-06-02,-233.55,-15180.75,3,3,284.35,18482.75
2025-07,23,1,16,1,9,7,4,9,2,1,0,5,7,0,207.70,13500.50,17.31,2025-07-29,177.70,11550.50,2025-07-15,-58.70,-3815.50,2,4,97.10,6311.50
2025-08,19,0,12,0,12,0,0,11,0,1,0,0,7,0,-280.05,-18203.25,-40.01,2025-08-13,-13.10,-851.50,2025-08-11,-80.50,-5232.50,0,7,280.05,18203.25
2025-09,22,1,10,1,7,3,3,6,1,0,0,4,4,0,126.40,8216.00,15.80,2025-09-18,116.95,7601.75,2025-09-03,-24.90,-1618.50,2,2,30.30,1969.50
2025-10,21,1,12,1,10,2,1,8,3,0,0,4,8,0,372.20,24193.00,31.02,2025-10-23,212.05,13783.25,2025-10-24,-29.35,-1907.75,3,4,69.35,4507.75
2025-11,19,0,13,0,10,3,3,9,1,0,0,3,6,0,25.30,1644.50,2.81,2025-11-27,87.40,5681.00,2025-11-14,-48.55,-3155.75,2,4,107.50,6987.50
2025-12,22,0,13,0,9,4,1,8,2,1,1,4,7,0,92.85,6035.25,8.44,2025-12-29,151.05,9818.25,2025-12-01,-135.55,-8810.75,3,3,180.45,11729.25
2026-01,20,0,11,0,9,2,3,7,0,1,0,3,7,0,-145.10,-9431.50,-14.51,2026-01-06,95.25,6191.25,2026-01-14,-77.50,-5037.50,1,6,292.50,19012.50
2026-02,21,1,12,1,9,3,1,10,1,0,0,2,10,0,82.15,5339.75,6.85,2026-02-13,264.65,17202.25,2026-02-04,-99.20,-6448.00,1,6,121.90,7923.50
2026-03,19,1,12,1,9,3,1,7,3,1,0,4,7,0,826.55,53725.75,75.14,2026-03-09,613.75,39893.75,2026-03-24,-305.65,-19867.25,2,3,320.00,20800.00
2026-04,20,0,19,0,14,5,5,12,1,1,0,4,10,0,886.25,57606.25,63.30,2026-04-08,963.70,62640.50,2026-04-09,-184.55,-11995.75,2,4,197.65,12847.25
2026-05,2,0,2,0,2,0,0,2,0,0,0,0,2,0,-60.95,-3961.75,-30.48,2026-05-04,-9.60,-624.00,2026-05-05,-51.35,-3337.75,0,2,60.95,3961.75
