date,source,ref,expiry,status,net_pnl,gross_pnl,charges,cum_pnl,equity,note
2025-10-13,adjust,42,2025-10-14,SKIPPED,0.0,0.0,0.0,207883.69,1207883.69,no_initial_entry_strikes
2025-10-14,expiry,42,2025-10-14,TRADED,-427.62,-321.75,105.87,207456.07,1207456.07,
2025-10-17,adjust,43,2025-10-20,SKIPPED,0.0,0.0,0.0,207456.07,1207456.07,no_initial_entry_strikes
2025-10-20,expiry,43,2025-10-20,TRADED,2387.47,2496.0,108.53,209843.54,1209843.54,
2025-10-27,adjust,44,2025-10-28,TRADED,-5869.52,-5460.0,409.52,203974.02,1203974.02,
2025-10-28,expiry,44,2025-10-28,TRADED,2427.3,2544.75,117.45,206401.32,1206401.32,
2025-11-03,adjust,45,2025-11-04,TRADED,7669.88,8160.75,490.87,214071.2,1214071.2,
2025-11-04,expiry,45,2025-11-04,TRADED,484.28,594.75,110.47,214555.48,1214555.48,
2025-11-10,adjust,46,2025-11-11,TRADED,4390.89,4758.0,367.11,218946.37,1218946.37,
2025-11-11,expiry,46,2025-11-11,TRADED,834.93,945.75,110.82,219781.3,1219781.3,
2025-11-17,adjust,47,2025-11-18,TRADED,8165.86,8550.75,384.89,227947.16,1227947.16,
2025-11-18,expiry,47,2025-11-18,TRADED,8268.94,8375.25,106.31,236216.1,1236216.1,
2025-11-24,adjust,48,2025-11-25,TRADED,7635.77,8102.25,466.48,243851.87,1243851.87,
2025-11-25,expiry,48,2025-11-25,TRADED,-1796.07,-1686.75,109.32,242055.8,1242055.8,
2025-12-01,adjust,49,2025-12-02,TRADED,-165.32,214.5,379.82,241890.48,1241890.48,
2025-12-02,expiry,49,2025-12-02,TRADED,185.67,292.5,106.83,242076.15,1242076.15,
2025-12-08,adjust,50,2025-12-09,TRADED,7066.96,7390.5,323.54,249143.11,1249143.11,
2025-12-09,expiry,50,2025-12-09,TRADED,-10138.08,-10023.0,115.08,239005.03,1239005.03,
2025-12-15,adjust,51,2025-12-16,TRADED,4534.27,4904.25,369.98,243539.3,1243539.3,
2025-12-16,expiry,51,2025-12-16,TRADED,6292.5,6396.0,103.5,249831.8,1249831.8,
2025-12-22,adjust,52,2025-12-23,SKIPPED,0.0,0.0,0.0,249831.8,1249831.8,no_initial_entry_strikes
2025-12-23,expiry,52,2025-12-23,TRADED,5065.75,5167.5,101.75,254897.55,1254897.55,
2025-12-29,adjust,53,2025-12-30,SKIPPED,0.0,0.0,0.0,254897.55,1254897.55,no_initial_entry_strikes
2025-12-30,expiry,53,2025-12-30,TRADED,-2854.86,-2749.5,105.36,252042.69,1252042.69,
