trade_no,expiry,trade_date,status,skip_reason,capital_at_entry,spot_at_entry,spot_at_close,atm,lot_size,lots_per_leg,units_per_leg,margin_rate,margin_used,ce_strike,pe_strike,ce_entry_price,ce_exit_price,ce_exit_reason,pe_entry_price,pe_exit_price,pe_exit_reason,total_premium_points,gross_pnl,total_charges,net_pnl,remarks
31,2025-07-31,2025-07-31,TRADED,,1155826.6,24702.7,24765.6,24700,65,3,195,0.2,963405.3,24800,24600,23.4,47.3,sl_2.00x,28.8,0.1,scheduled_exit,52.2,936.0,112.9,823.1,
32,2025-08-07,2025-08-07,TRADED,,1165895.26,24516.3,24626.65,24500,65,3,195,0.2,956135.7,24600,24400,24.2,0.3,scheduled_exit,17.05,36.2,sl_2.00x,41.25,926.25,108.94,817.31,
33,2025-08-14,2025-08-14,TRADED,,1173712.38,24624.3,24616.05,24600,65,3,195,0.2,960347.7,24700,24500,22.2,0.05,scheduled_exit,16.6,0.05,scheduled_exit,38.8,7546.5,105.11,7441.39,
34,2025-08-21,2025-08-21,TRADED,,1189502.45,25077.7,25076.95,25100,65,3,195,0.2,978030.3,25200,25000,9.3,0.05,scheduled_exit,17.0,0.1,scheduled_exit,26.3,5099.25,101.67,4997.58,
35,2025-08-28,2025-08-28,TRADED,,1199323.25,24575.5,24533.1,24600,65,3,195,0.2,958444.5,24700,24500,17.45,38.7,sl_2.00x,22.85,0.15,scheduled_exit,40.3,282.75,108.89,173.86,
36,2025-09-02,2025-09-02,TRADED,,1199497.11,24653.9,24575.0,24650,65,3,195,0.2,961502.1,24750,24550,12.4,26.2,sl_2.00x,11.5,27.3,sl_2.00x,23.9,-5772.0,105.63,-5877.63,
37,2025-09-09,2025-09-09,TRADED,,1191929.6,24857.0,24878.8,24850,65,3,195,0.2,969423.0,24950,24750,15.55,0.05,scheduled_exit,14.6,0.1,scheduled_exit,30.15,5850.0,102.73,5747.27,
38,2025-09-16,2025-09-16,TRADED,,1202584.98,25111.0,25254.45,25100,65,3,195,0.2,979329.0,25200,25000,12.1,25.5,sl_2.00x,10.05,0.05,scheduled_exit,22.15,-663.0,102.73,-765.73,
39,2025-09-23,2025-09-23,TRADED,,1201819.25,25235.85,25185.8,25250,65,3,195,0.2,984198.15,25350,25150,11.15,0.05,scheduled_exit,10.7,26.0,sl_2.00x,21.85,-819.0,102.69,-921.69,
40,2025-09-30,2025-09-30,TRADED,,1200897.56,24722.9,24633.6,24700,65,3,195,0.2,964193.1,24800,24600,27.9,0.05,scheduled_exit,12.6,27.25,sl_2.00x,40.5,2574.0,107.94,2466.06,
41,2025-10-07,2025-10-07,TRADED,,1208018.73,25083.6,25112.8,25100,65,3,195,0.2,978260.4,25200,25000,13.75,31.5,sl_2.00x,17.65,0.05,scheduled_exit,31.4,-29.25,105.79,-135.04,
42,2025-10-14,2025-10-14,TRADED,,1207883.69,25295.4,25123.35,25300,65,3,195,0.2,986520.6,25400,25200,15.9,0.05,scheduled_exit,15.35,32.85,sl_2.00x,31.25,-321.75,105.87,-427.62,
43,2025-10-20,2025-10-20,TRADED,,1207456.07,25913.45,25850.7,25900,65,3,195,0.2,1010624.55,26000,25800,27.55,0.05,scheduled_exit,14.5,29.2,sl_2.00x,42.05,2496.0,108.53,2387.47,
44,2025-10-28,2025-10-28,TRADED,,1203974.02,25957.8,25965.4,25950,65,3,195,0.2,1012354.2,26050,25850,40.3,0.15,scheduled_exit,26.4,53.5,sl_2.00x,66.7,2544.75,117.45,2427.3,
45,2025-11-04,2025-11-04,TRADED,,1214071.2,25754.55,25586.25,25750,65,3,195,0.2,1004427.45,25850,25650,24.7,0.1,scheduled_exit,20.35,41.9,sl_2.00x,45.05,594.75,110.47,484.28,
46,2025-11-11,2025-11-11,TRADED,,1218946.37,25526.6,25705.55,25550,65,3,195,0.2,995537.4,25650,25450,19.8,41.55,sl_2.00x,26.65,0.05,scheduled_exit,46.45,945.75,110.82,834.93,
47,2025-11-18,2025-11-18,TRADED,,1227947.16,25951.15,25894.7,25950,65,3,195,0.2,1012094.85,26050,25850,21.9,0.05,scheduled_exit,21.2,0.1,scheduled_exit,43.1,8375.25,106.31,8268.94,
48,2025-11-25,2025-11-25,TRADED,,1243851.87,25960.7,25860.3,25950,65,3,195,0.2,1012467.3,26050,25850,23.7,47.7,sl_2.00x,15.4,0.05,scheduled_exit,39.1,-1686.75,109.32,-1796.07,
49,2025-12-02,2025-12-02,TRADED,,1241890.48,26146.45,26057.0,26150,65,3,195,0.2,1019711.55,26250,26050,18.4,0.1,scheduled_exit,16.25,33.05,sl_2.00x,34.65,292.5,106.83,185.67,
50,2025-12-09,2025-12-09,TRADED,,1249143.11,25802.5,25841.75,25800,65,3,195,0.2,1006297.5,25900,25700,27.2,61.0,sl_2.00x,17.55,35.15,sl_2.00x,44.75,-10023.0,115.08,-10138.08,
51,2025-12-16,2025-12-16,TRADED,,1243539.3,25938.9,25851.35,25950,65,3,195,0.2,1011617.1,26050,25850,13.85,0.1,scheduled_exit,19.1,0.05,scheduled_exit,32.95,6396.0,103.5,6292.5,
52,2025-12-23,2025-12-23,TRADED,,1249831.8,26165.0,26165.95,26150,65,3,195,0.2,1020435.0,26250,26050,14.65,0.05,scheduled_exit,11.95,0.05,scheduled_exit,26.6,5167.5,101.75,5065.75,
53,2025-12-30,2025-12-30,TRADED,,1254897.55,25890.55,25970.55,25900,65,3,195,0.2,1009731.45,25950,25800,18.25,40.9,sl_2.00x,8.6,0.05,scheduled_exit,26.85,-2749.5,105.36,-2854.86,
