entry_date,status,skip_reason,expiry_date,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,exit_timestamp,atm_strike,itm_strike,itm_distance_points,sold_side,contract_name,option_entry_open,option_exit_open,exit_reason,gross_pnl,brokerage,net_pnl,remarks
2025-06-19,TRADED,,2025-06-19,2025-06-19T09:20:00+05:30,24755.3,24817.59,BELOW_SMA,2025-06-19T09:20:00+05:30,2025-06-19T15:00:00+05:30,24750,24650,100,CE,NIFTY_24650_CE_19_JUN_25.csv,119.25,164.35,scheduled_exit,-12246.00,50.00,-12296.00,
2025-06-26,TRADED,,2025-06-26,2025-06-26T09:20:00+05:30,25282.75,25222.82,ABOVE_SMA,2025-06-26T09:20:00+05:30,2025-06-26T15:00:00+05:30,25300,25400,100,PE,NIFTY_25400_PE_26_JUN_25.csv,128.3,1.25,scheduled_exit,32513.00,50.00,32463.00,
2025-07-03,TRADED,,2025-07-03,2025-07-03T09:20:00+05:30,25522.75,25470.25,ABOVE_SMA,2025-07-03T09:20:00+05:30,2025-07-03T15:00:00+05:30,25500,25600,100,PE,NIFTY_25600_PE_03_JUL_25.csv,100.25,191.3,scheduled_exit,-24193.00,50.00,-24243.00,
2025-07-10,TRADED,,2025-07-10,2025-07-10T09:20:00+05:30,25470.6,25514.09,BELOW_SMA,2025-07-10T09:20:00+05:30,2025-07-10T15:00:00+05:30,25450,25350,100,CE,NIFTY_25350_CE_10_JUL_25.csv,142.2,20.9,scheduled_exit,31018.00,50.00,30968.00,
2025-07-17,TRADED,,2025-07-17,2025-07-17T09:20:00+05:30,25216.6,25187.22,ABOVE_SMA,2025-07-17T09:20:00+05:30,2025-07-17T15:00:00+05:30,25200,25300,100,PE,NIFTY_25300_PE_17_JUL_25.csv,95.05,180.7,scheduled_exit,-22789.00,50.00,-22839.00,
2025-07-24,TRADED,,2025-07-24,2025-07-24T09:20:00+05:30,25204.1,25160.23,ABOVE_SMA,2025-07-24T09:20:00+05:30,2025-07-24T15:00:00+05:30,25200,25300,100,PE,NIFTY_25300_PE_24_JUL_25.csv,105.15,252.65,scheduled_exit,-38870.00,50.00,-38920.00,
2025-07-31,TRADED,,2025-07-31,2025-07-31T09:20:00+05:30,24680.35,24847.22,BELOW_SMA,2025-07-31T09:20:00+05:30,2025-07-31T15:00:00+05:30,24700,24600,100,CE,NIFTY_24600_CE_31_JUL_25.csv,103.4,247.35,scheduled_exit,-37947.00,50.00,-37997.00,
2025-08-07,TRADED,,2025-08-07,2025-08-07T09:20:00+05:30,24519.2,24586.52,BELOW_SMA,2025-08-07T09:20:00+05:30,2025-08-07T15:00:00+05:30,24500,24400,100,CE,NIFTY_24400_CE_07_AUG_25.csv,134.45,144.6,scheduled_exit,-3159.00,50.00,-3209.00,
2025-08-14,TRADED,,2025-08-14,2025-08-14T09:20:00+05:30,24640.15,24606.98,ABOVE_SMA,2025-08-14T09:20:00+05:30,2025-08-14T15:00:00+05:30,24650,24750,100,PE,NIFTY_24750_PE_14_AUG_25.csv,127.8,93.6,scheduled_exit,8372.00,50.00,8322.00,
2025-08-21,TRADED,,2025-08-21,2025-08-21T09:20:00+05:30,25074.7,25035.56,ABOVE_SMA,2025-08-21T09:20:00+05:30,2025-08-21T15:00:00+05:30,25050,25150,100,PE,NIFTY_25150_PE_21_AUG_25.csv,87.9,43.65,scheduled_exit,10985.00,50.00,10935.00,
2025-08-28,TRADED,,2025-08-28,2025-08-28T09:20:00+05:30,24575.55,24777.88,BELOW_SMA,2025-08-28T09:20:00+05:30,2025-08-28T15:00:00+05:30,24600,24500,100,CE,NIFTY_24500_CE_28_AUG_25.csv,100.7,23.5,scheduled_exit,19552.00,50.00,19502.00,
2025-09-02,TRADED,,2025-09-02,2025-09-02T09:20:00+05:30,24662.05,24574.87,ABOVE_SMA,2025-09-02T09:20:00+05:30,2025-09-02T15:00:00+05:30,24650,24750,100,PE,NIFTY_24750_PE_02_SEP_25.csv,94.9,181.0,scheduled_exit,-22906.00,50.00,-22956.00,
2025-09-09,TRADED,,2025-09-09,2025-09-09T09:20:00+05:30,24851.85,24827.91,ABOVE_SMA,2025-09-09T09:20:00+05:30,2025-09-09T15:00:00+05:30,24850,24950,100,PE,NIFTY_24950_PE_09_SEP_25.csv,110.8,91.4,scheduled_exit,4524.00,50.00,4474.00,
