entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked,entry_offset,entry_balance
2021-11-04,2021-11-11,2021-11-11,17850,50,NO,missing_entry_bar,No priceable straddle within 0 strikes of ATM 17850 at 09:20.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00
2021-11-12,2021-11-18,2021-11-18,18000,50,YES,,,7,5,4,14,4,-29.80,-1490.00,420.00,-1910.00,0,1,0,0,0,0.84
2021-11-22,2021-11-25,2021-11-25,17700,50,YES,,,4,2,2,8,4,154.90,7745.00,240.00,7505.00,0,2,0,5,0,0.96
2021-11-26,2021-12-02,2021-12-02,17300,50,YES,,,7,5,5,14,4,-94.45,-4722.50,420.00,-5142.50,0,2,0,0,0,0.84
2021-12-03,2021-12-09,2021-12-09,17500,50,YES,,,6,3,2,12,4,199.15,9957.50,360.00,9597.50,0,0,1,8,0,0.83
2021-12-10,2021-12-16,2021-12-16,17500,50,YES,,,7,4,3,14,4,55.60,2780.00,420.00,2360.00,0,3,1,0,0,0.88
2021-12-17,2021-12-23,2021-12-23,17200,50,YES,,,4,2,0,8,4,285.50,14275.00,240.00,14035.00,0,0,0,20,0,0.93
2021-12-24,2021-12-30,2021-12-30,17050,50,YES,,,4,2,0,8,4,236.20,11810.00,240.00,11570.00,0,0,0,8,0,0.84
2021-12-31,2022-01-06,2022-01-06,17300,50,YES,,,4,2,0,8,4,-54.70,-2735.00,240.00,-2975.00,1,0,0,16,0,0.96
2022-01-07,2022-01-13,2022-01-13,17850,50,YES,,,4,2,0,8,4,2.55,127.50,240.00,-112.50,1,0,0,10,0,0.93
2022-01-14,2022-01-20,2022-01-20,18150,50,YES,,,6,4,2,12,4,-154.15,-7707.50,360.00,-8067.50,0,0,0,5,0,0.94
2022-01-21,2022-01-27,2022-01-27,17550,50,YES,,,5,3,1,10,4,13.10,655.00,300.00,355.00,1,0,0,9,0,0.86
2022-01-28,2022-02-03,2022-02-03,17300,50,YES,,,5,3,1,10,4,329.85,16492.50,300.00,16192.50,1,0,0,7,0,0.98
2022-02-04,2022-02-10,2022-02-10,17500,50,YES,,,4,2,2,8,4,239.30,11965.00,240.00,11725.00,0,0,0,8,0,0.95
2022-02-11,2022-02-17,2022-02-17,17450,50,YES,,,6,4,4,12,4,-126.85,-6342.50,360.00,-6702.50,1,1,0,5,0,0.88
2022-02-18,2022-02-24,2022-02-24,17250,50,YES,,,5,2,2,10,4,-501.80,-25090.00,300.00,-25390.00,0,0,1,0,0,0.88
2022-02-25,2022-03-03,2022-03-03,16550,50,YES,,,3,1,1,6,3,466.10,23305.00,180.00,23125.00,0,0,0,0,0,0.96
2022-03-04,2022-03-10,2022-03-10,16250,50,YES,,,6,3,2,12,4,16.10,805.00,360.00,445.00,0,2,1,0,0,0.97
2022-03-11,2022-03-17,2022-03-17,16550,50,YES,,,6,4,2,12,4,-120.80,-6040.00,360.00,-6400.00,1,0,0,1,0,0.97
2022-03-21,2022-03-24,2022-03-24,17300,50,YES,,,4,2,2,8,3,227.35,11367.50,240.00,11127.50,0,0,0,0,0,0.95
2022-03-25,2022-03-31,2022-03-31,17200,50,YES,,,4,2,0,8,4,228.50,11425.00,240.00,11185.00,0,0,0,7,0,0.76
2022-04-01,2022-04-07,2022-04-07,17500,50,YES,,,4,2,0,8,4,330.50,16525.00,240.00,16285.00,0,0,0,20,0,0.89
2022-04-08,2022-04-13,2022-04-13,17700,50,YES,,,6,3,2,12,4,185.65,9282.50,360.00,8922.50,0,1,1,0,0,0.93
2022-04-18,2022-04-21,2022-04-21,17200,50,YES,,,3,1,1,6,3,-19.85,-992.50,180.00,-1172.50,0,1,0,0,0,0.94
2022-04-22,2022-04-28,2022-04-28,17200,50,YES,,,6,4,2,12,4,93.00,4650.00,360.00,4290.00,0,0,0,1,0,0.93
2022-04-29,2022-05-05,2022-05-05,17300,50,YES,,,4,2,0,8,4,-152.95,-7647.50,240.00,-7887.50,0,0,0,6,0,0.85
2022-05-06,2022-05-12,2022-05-12,16400,50,YES,,,6,4,2,12,4,-160.20,-8010.00,360.00,-8370.00,0,0,0,5,0,0.91
2022-05-13,2022-05-19,2022-05-19,15950,50,YES,,,5,3,1,10,4,85.35,4267.50,300.00,3967.50,0,0,0,8,0,0.96
2022-05-20,2022-05-26,2022-05-26,16050,50,YES,,,4,2,2,8,4,228.00,11400.00,240.00,11160.00,1,0,0,0,0,0.97
2022-05-27,2022-06-02,2022-06-02,16300,50,YES,,,5,2,2,10,4,150.05,7502.50,300.00,7202.50,0,0,1,1,0,0.90
2022-06-03,2022-06-09,2022-06-09,16800,50,YES,,,7,4,2,14,4,235.25,11762.50,420.00,11342.50,0,0,1,2,0,0.86
2022-06-10,2022-06-16,2022-06-16,16300,50,YES,,,4,2,0,8,4,-472.55,-23627.50,240.00,-23867.50,0,0,0,20,0,0.99
2022-06-17,2022-06-23,2022-06-23,15300,50,YES,,,4,2,2,8,4,157.55,7877.50,240.00,7637.50,0,0,0,3,0,1.00
2022-06-24,2022-06-30,2022-06-30,15700,50,YES,,,5,3,2,10,3,267.30,13365.00,300.00,13065.00,0,1,0,0,0,0.98
2022-07-01,2022-07-07,2022-07-07,15700,50,YES,,,6,4,3,12,4,14.65,732.50,360.00,372.50,0,1,0,1,0,0.81
2022-07-08,2022-07-14,2022-07-14,16200,50,YES,,,6,4,2,12,4,129.15,6457.50,360.00,6097.50,0,0,0,2,0,0.98
2022-07-15,2022-07-21,2022-07-21,16000,50,YES,,,4,2,0,8,4,-236.85,-11842.50,240.00,-12082.50,0,0,0,16,0,0.90
2022-07-22,2022-07-28,2022-07-28,16700,50,YES,,,5,3,3,10,4,-91.40,-4570.00,300.00,-4870.00,0,0,0,1,0,0.79
2022-07-29,2022-08-04,2022-08-04,17100,50,YES,,,6,3,1,12,4,173.95,8697.50,360.00,8337.50,0,0,1,2,0,0.97
2022-08-05,2022-08-11,2022-08-11,17400,50,YES,,,4,2,0,8,4,177.50,8875.00,240.00,8635.00,0,0,0,0,0,1.00
2022-08-12,2022-08-18,2022-08-18,17650,50,YES,,,4,2,0,8,4,40.20,2010.00,240.00,1770.00,0,0,0,7,0,0.97
2022-08-19,2022-08-25,2022-08-25,17950,50,YES,,,4,2,0,8,4,-58.10,-2905.00,240.00,-3145.00,2,0,0,20,0,0.84
2022-08-26,2022-09-01,2022-09-01,17650,50,YES,,,5,3,2,10,4,170.10,8505.00,300.00,8205.00,0,1,0,4,0,0.91
2022-09-02,2022-09-08,2022-09-08,17600,50,YES,,,3,1,1,6,3,92.45,4622.50,180.00,4442.50,0,0,0,0,0,0.91
2022-09-09,2022-09-15,2022-09-15,17900,50,YES,,,6,4,3,12,4,98.40,4920.00,360.00,4560.00,0,0,0,0,0,0.94
2022-09-16,2022-09-22,2022-09-22,17800,50,YES,,,5,3,3,10,4,108.45,5422.50,300.00,5122.50,0,0,0,0,0,0.94
2022-09-23,2022-09-29,2022-09-29,17550,50,YES,,,4,2,0,8,4,-221.55,-11077.50,240.00,-11317.50,5,0,0,20,0,0.92
2022-09-30,2022-10-06,2022-10-06,16750,50,YES,,,5,3,1,10,4,-9.05,-452.50,300.00,-752.50,5,0,0,7,0,0.89
