entry_date,status,skip_reason,active_expiry,spot_atm_timestamp,spot_atm_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,lot_size,num_lots,total_qty,net_entry_credit_points,gross_pnl,brokerage,net_pnl,remarks
2022-07-19,TRADED,,2022-07-21,2022-07-19T09:15:00+05:30,16187.0,16200,16450,2022-07-19T09:20:00+05:30,18.4,2022-07-19T15:20:00+05:30,29.45,15950,2022-07-19T09:20:00+05:30,17.3,2022-07-19T15:20:00+05:30,8.35,16650,2022-07-19T09:20:00+05:30,2.6,2022-07-19T15:20:00+05:30,2.55,15750,2022-07-19T09:20:00+05:30,5.5,2022-07-19T15:20:00+05:30,3.55,50,6,300,27.60,-3630.00,200.00,-3830.00,
2022-07-20,TRADED,,2022-07-21,2022-07-20T09:15:00+05:30,16562.8,16550,16800,2022-07-20T09:20:00+05:30,4.3,2022-07-20T15:20:00+05:30,1.65,16300,2022-07-20T09:20:00+05:30,13.2,2022-07-20T15:20:00+05:30,9.1,17000,2022-07-20T09:20:00+05:30,1.05,2022-07-20T15:20:00+05:30,0.6,16100,2022-07-20T09:20:00+05:30,5.0,2022-07-20T15:20:00+05:30,3.3,50,6,300,11.45,-1020.00,200.00,-1220.00,
2022-07-21,TRADED,,2022-07-21,2022-07-21T09:15:00+05:30,16523.6,16500,16750,2022-07-21T09:20:00+05:30,1.1,2022-07-21T15:20:00+05:30,0.1,16250,2022-07-21T09:20:00+05:30,2.15,2022-07-21T15:20:00+05:30,0.05,16950,2022-07-21T09:20:00+05:30,0.55,2022-07-21T15:20:00+05:30,0.05,16050,2022-07-21T09:20:00+05:30,1.0,2022-07-21T15:20:00+05:30,0.05,50,6,300,1.70,-1905.00,200.00,-2105.00,
2022-07-22,TRADED,,2022-07-28,2022-07-22T09:15:00+05:30,16661.2,16650,16900,2022-07-22T09:20:00+05:30,39.1,2022-07-22T15:20:00+05:30,51.1,16400,2022-07-22T09:20:00+05:30,44.0,2022-07-22T15:20:00+05:30,33.4,17100,2022-07-22T09:20:00+05:30,9.8,2022-07-22T15:20:00+05:30,13.25,16200,2022-07-22T09:20:00+05:30,19.25,2022-07-22T15:20:00+05:30,14.15,50,6,300,54.05,-3315.00,200.00,-3515.00,
2022-07-25,TRADED,,2022-07-28,2022-07-25T09:15:00+05:30,16662.6,16650,16900,2022-07-25T09:20:00+05:30,37.4,2022-07-25T15:20:00+05:30,19.4,16400,2022-07-25T09:20:00+05:30,31.0,2022-07-25T15:20:00+05:30,29.05,17100,2022-07-25T09:20:00+05:30,9.35,2022-07-25T15:20:00+05:30,4.05,16200,2022-07-25T09:20:00+05:30,11.2,2022-07-25T15:20:00+05:30,9.05,50,6,300,47.85,1350.00,200.00,1150.00,
2022-07-26,TRADED,,2022-07-28,2022-07-26T09:15:00+05:30,16632.9,16650,16900,2022-07-26T09:20:00+05:30,10.85,2022-07-26T15:20:00+05:30,2.9,16400,2022-07-26T09:20:00+05:30,39.9,2022-07-26T15:20:00+05:30,50.2,17100,2022-07-26T09:20:00+05:30,2.8,2022-07-26T15:20:00+05:30,1.5,16200,2022-07-26T09:20:00+05:30,10.7,2022-07-26T15:20:00+05:30,12.4,50,6,300,37.25,-2985.00,200.00,-3185.00,
2022-07-27,TRADED,,2022-07-28,2022-07-27T09:15:00+05:30,16475.3,16500,16750,2022-07-27T09:20:00+05:30,8.9,2022-07-27T15:20:00+05:30,39.15,16250,2022-07-27T09:20:00+05:30,14.3,2022-07-27T15:20:00+05:30,6.75,16950,2022-07-27T09:20:00+05:30,1.9,2022-07-27T15:20:00+05:30,3.8,16050,2022-07-27T09:20:00+05:30,3.5,2022-07-27T15:20:00+05:30,2.65,50,6,300,17.80,-8895.00,200.00,-9095.00,
2022-07-28,TRADED,,2022-07-28,2022-07-28T09:15:00+05:30,16774.8,16750,17000,2022-07-28T09:20:00+05:30,1.65,2022-07-28T15:20:00+05:30,0.05,16500,2022-07-28T09:20:00+05:30,3.3,2022-07-28T15:20:00+05:30,0.1,17200,2022-07-28T09:20:00+05:30,0.55,2022-07-28T15:20:00+05:30,0.05,16300,2022-07-28T09:20:00+05:30,1.3,2022-07-28T15:20:00+05:30,0.05,50,6,300,3.10,-1485.00,200.00,-1685.00,
2022-07-29,TRADED,,2022-08-04,2022-07-29T09:15:00+05:30,17079.5,17100,17350,2022-07-29T09:20:00+05:30,42.8,2022-07-29T15:20:00+05:30,56.5,16850,2022-07-29T09:20:00+05:30,48.55,2022-07-29T15:20:00+05:30,29.25,17550,2022-07-29T09:20:00+05:30,12.65,2022-07-29T15:20:00+05:30,15.55,16650,2022-07-29T09:20:00+05:30,20.7,2022-07-29T15:20:00+05:30,13.1,50,6,300,58.00,-2130.00,200.00,-2330.00,
2022-08-01,TRADED,,2022-08-04,2022-08-01T09:15:00+05:30,17243.2,17250,17500,2022-08-01T09:20:00+05:30,18.7,2022-08-01T15:20:00+05:30,44.2,17000,2022-08-01T09:20:00+05:30,51.15,2022-08-01T15:20:00+05:30,21.1,17700,2022-08-01T09:20:00+05:30,4.4,2022-08-01T15:20:00+05:30,9.5,16800,2022-08-01T09:20:00+05:30,20.15,2022-08-01T15:20:00+05:30,9.35,50,6,300,45.30,-2745.00,200.00,-2945.00,
