index,entry_date,day_of_week,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,lot_size,lots,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
SENSEX,2026-01-21,Wednesday,TRADED,,2026-01-22,2026-01-21T09:20:00+05:30,82173.06,82200,10,10,100,SENSEX_82200_CE_22_JAN_26.csv,332.00,398.40,2026-01-21T12:41:00+05:30,398.40,sl,-67.40,-6740.00,SENSEX_82200_PE_22_JAN_26.csv,294.00,352.80,2026-01-21T09:22:00+05:30,352.80,sl,-59.80,-5980.00,-12720.00,100.00,-12820.00,
SENSEX,2026-01-22,Thursday,TRADED,,2026-01-22,2026-01-22T09:20:00+05:30,82416.33,82400,10,10,100,SENSEX_82400_CE_22_JAN_26.csv,240.25,288.30,2026-01-22T09:22:00+05:30,288.30,sl,-49.05,-4905.00,SENSEX_82400_PE_22_JAN_26.csv,209.30,251.16,2026-01-22T10:28:00+05:30,251.16,sl,-42.86,-4286.00,-9191.00,100.00,-9291.00,
NIFTY,2026-01-23,Friday,TRADED,,2026-01-27,2026-01-23T09:20:00+05:30,25274.8,25250,65,5,325,NIFTY_25250_CE_27_JAN_26.csv,160.90,193.08,2026-01-23T15:20:00+05:30,45.65,day_close,114.25,37131.25,NIFTY_25250_PE_27_JAN_26.csv,99.00,118.80,2026-01-23T11:47:00+05:30,118.80,sl,-20.80,-6760.00,30371.25,100.00,30271.25,
NIFTY,2026-01-27,Tuesday,TRADED,,2026-01-27,2026-01-27T09:20:00+05:30,25007.5,25000,65,5,325,NIFTY_25000_CE_27_JAN_26.csv,118.45,142.14,2026-01-27T09:38:00+05:30,142.14,sl,-24.69,-8024.25,NIFTY_25000_PE_27_JAN_26.csv,89.00,106.80,2026-01-27T09:20:00+05:30,106.80,sl,-18.80,-6110.00,-14134.25,100.00,-14234.25,
SENSEX,2026-01-28,Wednesday,TRADED,,2026-01-29,2026-01-28T09:20:00+05:30,82397.4,82400,10,10,100,SENSEX_82400_CE_29_JAN_26.csv,393.35,472.02,2026-01-28T15:20:00+05:30,268.40,day_close,123.95,12395.00,SENSEX_82400_PE_29_JAN_26.csv,357.80,429.36,2026-01-28T10:08:00+05:30,429.36,sl,-72.56,-7256.00,5139.00,100.00,5039.00,
SENSEX,2026-01-29,Thursday,TRADED,,2026-01-29,2026-01-29T09:20:00+05:30,82103.17,82100,10,10,100,SENSEX_82100_CE_29_JAN_26.csv,230.95,277.14,2026-01-29T12:50:00+05:30,277.14,sl,-47.19,-4719.00,SENSEX_82100_PE_29_JAN_26.csv,218.60,262.32,2026-01-29T09:22:00+05:30,262.32,sl,-44.72,-4472.00,-9191.00,100.00,-9291.00,
NIFTY,2026-01-30,Friday,TRADED,,2026-02-03,2026-01-30T09:20:00+05:30,25257.8,25250,65,5,325,NIFTY_25250_CE_03_FEB_26.csv,210.75,252.90,2026-01-30T13:54:00+05:30,252.90,sl,-43.15,-14023.75,NIFTY_25250_PE_03_FEB_26.csv,183.20,219.84,2026-01-30T13:16:00+05:30,219.84,sl,-37.64,-12233.00,-26256.75,100.00,-26356.75,
NIFTY,2026-02-02,Monday,TRADED,,2026-02-03,2026-02-02T09:20:00+05:30,24810.45,24800,65,5,325,NIFTY_24800_CE_03_FEB_26.csv,169.95,203.94,2026-02-02T09:23:00+05:30,203.94,sl,-34.99,-11371.75,NIFTY_24800_PE_03_FEB_26.csv,174.15,208.98,2026-02-02T15:20:00+05:30,19.85,day_close,153.30,49822.50,38450.75,100.00,38350.75,
NIFTY,2026-02-03,Tuesday,TRADED,,2026-02-03,2026-02-03T09:20:00+05:30,25811.1,25800,65,5,325,NIFTY_25800_CE_03_FEB_26.csv,152.30,182.76,2026-02-03T15:20:00+05:30,0.15,day_close,151.15,49123.75,NIFTY_25800_PE_03_FEB_26.csv,153.70,184.44,2026-02-03T09:45:00+05:30,184.44,sl,-31.74,-10315.50,38808.25,100.00,38708.25,
SENSEX,2026-02-04,Wednesday,TRADED,,2026-02-05,2026-02-04T09:20:00+05:30,83609.83,83600,10,10,100,SENSEX_83600_CE_05_FEB_26.csv,351.35,421.62,2026-02-04T09:25:00+05:30,421.62,sl,-71.27,-7127.00,SENSEX_83600_PE_05_FEB_26.csv,374.70,449.64,2026-02-04T15:20:00+05:30,169.05,day_close,204.65,20465.00,13338.00,100.00,13238.00,
