entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,sl_capped,remarks
2021-10-28,TRADED,ma_gap_exceeded,2021-10-28,1,1,0,0,1,11,2,9480.00,50.00,9430.00,0,False,Gap 153.90 > threshold 125; close=18129.8 sma=18283.70; Gap 153.90 > threshold 125; close=18129.8 sma=18283.70; Gap 204.40 > threshold 125; close=18070.4 sma=18274.80; Gap 198.40 > threshold 125; close=18066.5 sma=18264.90; Gap 164.24 > threshold 125; close=18092.4 sma=18256.64; Gap 163.82 > threshold 125; close=18084.3 sma=18248.12; Gap 191.36 > threshold 125; close=18046.8 sma=18238.16; Gap 204.54 > threshold 125; close=18022.7 sma=18227.24; Gap 178.24 > threshold 125; close=18038.2 sma=18216.44; Gap 166.89 > threshold 125; close=18038.1 sma=18204.99; Gap 152.80 > threshold 125; close=18040.3 sma=18193.10
2021-10-29,SKIPPED,random_skip,2021-11-03,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-01,TRADED,,2021-11-03,2,2,0,2,0,0,4,3390.00,100.00,3290.00,2,True,
2021-11-02,TRADED,ma_gap_exceeded,2021-11-03,2,0,2,2,0,2,4,-5610.00,100.00,-5710.00,2,True,Gap 144.48 > threshold 125; close=17973.6 sma=17829.12; Gap 144.48 > threshold 125; close=17973.6 sma=17829.12
2021-11-03,TRADED,,2021-11-03,2,0,2,2,0,0,4,-2865.00,100.00,-2965.00,2,True,
2021-11-04,SKIPPED,random_skip,2021-11-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-08,SKIPPED,random_skip,2021-11-11,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-09,TRADED,,2021-11-11,2,0,2,2,0,0,4,-4890.00,100.00,-4990.00,2,True,
2021-11-10,TRADED,,2021-11-11,2,1,1,1,1,0,4,1890.00,100.00,1790.00,1,False,
2021-11-11,TRADED,,2021-11-11,1,1,0,0,1,0,2,14940.00,50.00,14890.00,0,False,
2021-11-12,SKIPPED,random_skip,2021-11-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-15,SKIPPED,random_skip,2021-11-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-16,TRADED,,2021-11-18,2,2,0,2,0,0,4,2010.00,100.00,1910.00,2,True,
2021-11-17,TRADED,,2021-11-18,2,1,1,2,0,0,4,-9615.00,100.00,-9715.00,2,True,
2021-11-18,SKIPPED,random_skip,2021-11-18,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-22,TRADED,ma_gap_exceeded,2021-11-25,1,1,0,0,1,2,2,30480.00,50.00,30430.00,0,False,Gap 128.95 > threshold 125; close=17632.7 sma=17761.65; Gap 128.95 > threshold 125; close=17632.7 sma=17761.65
2021-11-23,SKIPPED,random_skip,2021-11-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-24,TRADED,,2021-11-25,2,1,1,1,1,0,4,23865.00,100.00,23765.00,1,False,
2021-11-25,SKIPPED,random_skip,2021-11-25,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-26,TRADED,ma_gap_exceeded,2021-12-02,1,1,0,0,1,20,2,9900.00,50.00,9850.00,0,False,Gap 179.49 > threshold 125; close=17295.7 sma=17475.19; Gap 179.49 > threshold 125; close=17295.7 sma=17475.19; Gap 139.89 > threshold 125; close=17331.8 sma=17471.69; Gap 233.08 > threshold 125; close=17233.2 sma=17466.28; Gap 208.03 > threshold 125; close=17252.4 sma=17460.43; Gap 292.27 > threshold 125; close=17158.6 sma=17450.87; Gap 299.51 > threshold 125; close=17140.4 sma=17439.91; Gap 326.58 > threshold 125; close=17099.8 sma=17426.38; Gap 248.58 > threshold 125; close=17165.8 sma=17414.38; Gap 222.24 > threshold 125; close=17179.7 sma=17401.94; Gap 188.77 > threshold 125; close=17202.3 sma=17391.07; Gap 209.18 > threshold 125; close=17169.1 sma=17378.28; Gap 214.76 > threshold 125; close=17148.4 sma=17363.16; Gap 200.90 > threshold 125; close=17147.8 sma=17348.70; Gap 164.64 > threshold 125; close=17171.1 sma=17335.74; Gap 139.91 > threshold 125; close=17184.5 sma=17324.41; Gap 133.65 > threshold 125; close=17177.2 sma=17310.85; Gap 142.95 > threshold 125; close=17154.2 sma=17297.15; Gap 166.48 > threshold 125; close=17115.1 sma=17281.58; Gap 188.96 > threshold 125; close=17075.8 sma=17264.76
2021-11-29,SKIPPED,random_skip,2021-12-02,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-11-30,TRADED,,2021-12-02,2,1,1,2,0,0,4,8730.00,100.00,8630.00,2,True,
2021-12-01,TRADED,,2021-12-02,2,1,1,2,0,0,4,-4230.00,100.00,-4330.00,2,True,
2021-12-02,SKIPPED,random_skip,2021-12-02,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-03,TRADED,ma_gap_exceeded,2021-12-09,2,1,1,1,1,2,4,14745.00,100.00,14645.00,1,False,Gap 146.41 > threshold 125; close=17466.6 sma=17320.19; Gap 146.41 > threshold 125; close=17466.6 sma=17320.19
2021-12-06,TRADED,ma_gap_exceeded,2021-12-09,1,1,0,0,1,6,2,28590.00,50.00,28540.00,0,False,Gap 145.63 > threshold 125; close=17172.2 sma=17317.83; Gap 145.63 > threshold 125; close=17172.2 sma=17317.83; Gap 156.12 > threshold 125; close=17150.9 sma=17307.02; Gap 164.77 > threshold 125; close=17132.0 sma=17296.77; Gap 142.52 > threshold 125; close=17144.3 sma=17286.82; Gap 133.34 > threshold 125; close=17144.2 sma=17277.54
2021-12-07,TRADED,,2021-12-09,2,1,1,1,1,0,4,13800.00,100.00,13700.00,1,False,
2021-12-08,TRADED,ma_gap_exceeded,2021-12-09,1,0,1,0,1,10,2,9000.00,50.00,8950.00,0,False,Gap 196.27 > threshold 125; close=17377.7 sma=17181.43; Gap 196.27 > threshold 125; close=17377.7 sma=17181.43; Gap 208.23 > threshold 125; close=17402.8 sma=17194.57; Gap 190.87 > threshold 125; close=17397.8 sma=17206.93; Gap 186.67 > threshold 125; close=17406.2 sma=17219.53; Gap 158.88 > threshold 125; close=17390.2 sma=17231.32; Gap 155.35 > threshold 125; close=17397.2 sma=17241.85; Gap 161.13 > threshold 125; close=17413.6 sma=17252.47; Gap 147.17 > threshold 125; close=17409.3 sma=17262.13; Gap 160.65 > threshold 125; close=17433.2 sma=17272.55
2021-12-09,SKIPPED,random_skip,2021-12-09,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2021-12-10,TRADED,,2021-12-16,2,0,2,2,0,0,4,2250.00,100.00,2150.00,2,True,
