entry_date,status,skip_reason,expiry_date,spot_entry,atm,short_dist,wing_width,short_ce,long_ce,short_pe,long_pe,short_ce_entry,long_ce_entry,short_pe_entry,long_pe_entry,entry_credit,sl_trigger,lot_size,condors,units,exit_time,exit_reason,short_ce_exit,long_ce_exit,short_pe_exit,long_pe_exit,liq_cost_exit,gross_pnl,brokerage,net_pnl,cum_pnl,remarks
2022-05-26,TRADED,,2022-05-26,16087.10,16100,200,100,16300,16400,15900,15800,5.10,1.85,12.50,4.70,11.05,22.10,50,26,1300,10:28,sl,1.90,1.30,36.60,13.60,23.60,-16315.00,9360.00,-25675.00,-1232682.50,
2022-06-02,TRADED,,2022-06-02,16460.80,16450,200,100,16650,16750,16250,16150,5.70,1.90,7.80,2.65,8.95,17.90,50,26,1300,10:33,sl,20.80,3.95,2.55,1.45,17.95,-11700.00,9360.00,-21060.00,-1253742.50,
2022-06-09,TRADED,,2022-06-09,16285.00,16300,200,100,16500,16600,16100,16000,3.55,1.65,6.90,1.95,6.85,13.70,50,26,1300,15:25,eod,0.05,0.05,0.05,0.10,-0.05,8970.00,9360.00,-390.00,-1254132.50,
2022-06-16,TRADED,,2022-06-16,15843.80,15850,200,100,16050,16150,15650,15550,4.25,1.25,6.70,2.80,6.90,13.80,50,27,1350,10:17,sl,1.80,1.20,18.65,4.90,14.35,-10057.50,9720.00,-19777.50,-1273910.00,
2022-06-23,TRADED,,2022-06-23,15469.50,15450,200,100,15650,15750,15250,15150,7.10,2.35,9.25,4.20,9.80,19.60,50,27,1350,09:48,sl,26.70,7.55,4.60,2.85,20.90,-14985.00,9720.00,-24705.00,-1298615.00,
2022-06-30,TRADED,,2022-06-30,15854.80,15850,200,100,16050,16150,15650,15550,8.65,2.00,16.85,7.35,16.15,32.30,50,27,1350,15:25,eod,0.05,0.05,0.05,0.05,0.00,21802.50,9720.00,12082.50,-1286532.50,
2022-07-07,TRADED,,2022-07-07,16114.20,16100,200,100,16300,16400,15900,15800,4.70,1.55,9.10,4.70,7.55,15.10,50,26,1300,15:25,eod,0.05,0.05,0.05,0.05,0.00,9815.00,9360.00,455.00,-1286077.50,
2022-07-14,TRADED,,2022-07-14,16025.70,16050,200,100,16250,16350,15850,15750,2.70,1.10,11.25,3.80,9.05,18.10,50,26,1300,15:25,eod,0.05,0.05,0.05,0.05,0.00,11765.00,9360.00,2405.00,-1283672.50,
2022-07-21,TRADED,,2022-07-21,16512.60,16500,200,100,16700,16800,16300,16200,1.80,0.85,3.70,1.60,3.05,6.10,50,26,1300,15:25,eod,0.05,0.05,0.10,0.05,0.05,3900.00,9360.00,-5460.00,-1289132.50,
2022-07-28,TRADED,,2022-07-28,16775.90,16800,200,100,17000,17100,16600,16500,1.65,0.75,7.10,3.30,4.70,9.40,50,25,1250,15:25,eod,0.05,0.05,0.05,0.05,0.00,5875.00,9000.00,-3125.00,-1292257.50,
